mode,selected_budget,oa,expected_macs_ratio
aux_downsample_2,1.0,0.8397146839386734,0.9999983906745911
aux_downsample_4,1.0,0.8385668607034517,0.9999983906745911
aux_noise,1.0,0.8083135197179634,0.9999983906745911
aux_noise_high,1.0,0.7965893252439125,0.9999983906745911
aux_noise_low,1.0,0.8215954742969582,0.9999983906745911
aux_noise_mid,1.0,0.8079035828482414,0.9999983906745911
aux_occlusion_25,1.0,0.8352053783717307,0.9999983906745911
aux_occlusion_50,0.8,0.7939657292776913,0.8035410046577454
aux_only,0.65,0.37558416003935396,0.6568830609321594
full,1.0,0.8448798884971714,0.9999983906745911
main_only,0.65,0.7401820119701567,0.6568830609321594
