policy,mean_oa,mean_selected_budget,mean_expected_macs_ratio,routing_accuracy_vs_oracle,routing_accuracy_vs_utility,utility_resource_penalty,pareto_metric_tolerance,mean_metric_regret,mean_resource_saving_vs_reference,modes
pareto_delta_0,0.7395708333643891,0.9136363636363637,0.9151806614615701,,,,0.0,0.0,0.08481772921302101,11
pareto_delta_0.005,0.7395708333643891,0.9136363636363637,0.9151806614615701,,,,0.005,0.0,0.08481772921302101,11
pareto_delta_0.01,0.7377223907518242,0.8318181818181819,0.8348616253245961,,,,0.01,0.0018484426125649337,0.165136765349995,11
pareto_delta_0.02,0.7367087286739659,0.8,0.8036337494850159,,,,0.02,0.0028621046904231296,0.1963646411895752,11
pareto_delta_0.03,0.7289646485350346,0.740909090909091,0.7456766908819025,,,,0.03,0.010606184829354463,0.25432169979268854,11
utility_lambda_0,0.7395708333643891,0.9136363636363637,0.9151806614615701,,,0.0,,0.0,0.08481772921302101,11
utility_lambda_0.05,0.7367087286739659,0.8,0.8036337494850159,,,0.05,,0.0028621046904231296,0.1963646411895752,11
utility_lambda_0.1,0.733705009428548,0.7681818181818181,0.7724058736454357,,,0.1,,0.00586582393584116,0.2275925170291554,11
utility_lambda_0.15,0.7267957098243234,0.7090909090909092,0.7144488150423224,,,0.15,,0.012775123540065754,0.28554957563226874,11
utility_lambda_0.2,0.7196479014958969,0.6636363636363638,0.6698563478209756,,,0.2,,0.019922931868492266,0.3301420428536155,11
utility_lambda_0.3,0.7158094017157721,0.6500000000000001,0.656491756439209,,,0.3,,0.023761431648617035,0.3435066342353821,11
