path,kind,rows,best_accuracy,final_accuracy,final_best,final_epoch
output\logs\ckd0\hsi_lidarckd0.csv,csv,15,0.0,0.122407,0.0,
output\logs\ckd1\hsi_lidarckd1.csv,csv,300,0.629663,0.413052,0.629663,
output\logs\ckd2\hsi_lidarckd2.csv,csv,300,0.6457325,0.441748,0.6457325,
output\logs\ckd3\hsi_lidarckd3.csv,csv,300,0.6388865,0.4406,0.6388865,
output\logs\depose\hsi_lidardepose.csv,csv,0,,,,
output\logs\depose_berlin\hsi1_sardepose_berlin.csv,csv,0,,,,
output\logs\depose_intra\hsi_lidardepose_intra.csv,csv,349,0.25131179458565184,0.0981087855166859,,
output\logs\depose_intra_acc\hsi_lidardepose_intra_acc.csv,csv,301,0.862999,0.857096,0.862999,
output\logs\depose_lidar_lambda\hsi_lidardepose_lidar_lambda.csv,csv,0,,,,
output\logs\depose_lidar_lambda6\hsi_lidardepose_lidar_lambda6.csv,csv,0,,,,
output\logs\drfuse\hsi_lidardrfuse.csv,csv,0,,,,
output\logs\drfuse1\hsi_lidardrfuse1.csv,csv,300,0.24960418045520782,0.05777256712317467,,
output\logs\drfuse_acc1\hsi_lidardrfuse_acc1.csv,csv,301,0.862425,0.854062,0.862425,
output\logs\dw1\hsi_lidardw1.csv,csv,0,,,,
output\logs\dw_prun2\hsi_lidardw_prun2.csv,csv,800,0.57342,0.15661682221446935,0.57342,
output\logs\dw_prun4\hsi_lidardw_prun4.csv,csv,800,0.621874,0.3692298861774922,0.621874,
output\logs\dw_prun6\hsi_lidardw_prun6.csv,csv,800,0.699516,0.4644012891174381,0.699516,
output\logs\dw_prun9\hsi_lidardw_prun9.csv,csv,620,0.766582,0.6016424597397565,0.766582,
output\logs\dw_prune\hsi_lidardw_prune.csv,csv,31,0.415348,0.28280913677528674,0.415348,
output\logs\dw_prune1\hsi_lidardw_prune1.csv,csv,800,0.08789,4.062668342557954e-07,0.08789,
output\logs\dw_prune2\hsi_lidardw_prune2.csv,csv,400,0.08789,-4.111820013431367e-07,0.08789,
output\logs\dw_prune8\hsi_lidardw_prune8.csv,csv,402,0.744691,0.6282623225506468,0.744691,
output\logs\dw_prune81\hsi_lidardw_prune81.csv,csv,800,0.735181,0.6153346140013983,0.695417,
output\logs\dw_prune91\hsi_lidardw_prune91.csv,csv,400,0.751414,0.6226981766162125,0.751414,
output\logs\figure\hsi_lidarfigure.csv,csv,300,0.834549,0.7961547203172242,0.834549,
output\logs\figure1\hsi_lidarfigure1.csv,csv,300,0.836681,0.8195674928573436,0.836681,
output\logs\figure_para1\hsi_lidarfigure_para1.csv,csv,300,0.817086,0.7917632230771142,0.817086,
output\logs\figure_stable\hsi_lidarfigure_stable.csv,csv,342,0.833648,0.8081803390565685,0.833648,
output\logs\gate\hsi_lidargate.csv,csv,10,0.639256,0.5580260642859691,0.639256,
output\logs\gate1\hsi_lidargate1.csv,csv,558,0.881774,0.8598220908219624,0.881774,
output\logs\gate2\hsi_lidargate2.csv,csv,400,0.871608,0.853197285910864,0.871608,
output\logs\gate3\hsi_lidargate3.csv,csv,400,0.876691,0.8493351285846712,0.876691,
output\logs\gate4\hsi_lidargate4.csv,csv,400,0.872346,0.8440896150046826,0.872346,
output\logs\improved_mdfuse\hsi_lidarimproved_mdfuse.csv,csv,300,0.077,0.073,0.077,
output\logs\mcl\hsi_lidarmcl.csv,csv,84,0.850947,0.06,0.06,
output\logs\mcl\hsi_lidar_osc_0.7_l1_0.001_gama_1.01.csv,csv,300,0.886447,0.8645041950818957,0.886447,
output\logs\mcl_drop\hsi_lidarmcl_drop.csv,csv,300,0.886038,0.8676332916113356,0.886038,
output\logs\mcl_se\hsi_lidarmcl_se.csv,csv,317,0.88038,0.8621173148140189,0.88038,
output\logs\md_0\hsi_lidarmd_0.csv,csv,300,0.681889,0.519636,0.681889,
output\logs\md_1\hsi_lidarmd_1.csv,csv,300,0.692547,0.524883,0.692547,
output\logs\md_2\hsi_lidarmd_2.csv,csv,300,0.684964,0.50947,0.684964,
output\logs\more_conv\hsi_lidarmore_conv.csv,csv,300,0.710093,0.555055,0.710093,
output\logs\nopool\hsi_lidarnopool.csv,csv,373,0.7030415,0.545954,0.7030415,
output\logs\nopool_krc\hsi_lidarnopool_krc.csv,csv,300,0.6804545,0.488235,0.6804545,
output\logs\nopool_krc1\hsi_lidarnopool_krc1.csv,csv,300,0.6847585,0.497335,0.6847585,
output\logs\no_md\hsi_lidarno_md.csv,csv,300,0.692137,0.517914,0.692137,
output\logs\prune_berlin_succ\hsi1_sar_osc_0.05_l1_0.001_gama_1.01.csv,csv,300,0.777775,0.5105134363869303,0.777775,
output\logs\prune_berlin_succ\hsi1_sar_osc_0.1_l1_0.001_gama_1.01.csv,csv,300,0.779475,0.5114458455565755,0.779475,
output\logs\prune_berlin_succ\hsi1_sar_osc_0.5_l1_0.001_gama_1.01.csv,csv,300,0.7772,0.5788596298903038,0.7772,
