path,kind,rows,best_accuracy,final_accuracy,final_best,final_epoch
prune\log\h011.out,out,200,0.85841,0.84119,0.85841,199
prune\log\huston_teacher1.out,out,0,,,,
prune\log\huston_teacher10.out,out,0,,,,
prune\log\huston_teacher11.out,out,0,,,,
prune\log\huston_teacher12.out,out,0,,,,
prune\log\huston_teacher13.out,out,0,,,,
prune\log\huston_teacher2.out,out,0,,,,
prune\log\huston_teacher3.out,out,0,,,,
prune\log\huston_teacher4.out,out,0,,,,
prune\log\huston_teacher5.out,out,0,,,,
prune\log\huston_teacher6.out,out,0,,,,
prune\log\huston_teacher7.out,out,0,,,,
prune\log\huston_teacher8.out,out,0,,,,
prune\log\huston_teacher9.out,out,0,,,,
prune\log\try0505.out,out,400,0.79839,0.58564,0.79839,399
prune\log\try105.out,out,400,0.80725,0.64114,0.80725,399
prune\log\try205.out,out,400,0.82906,0.7419,0.82906,399
prune\log\try3.out,out,150,0.75174,0.65131,0.75174,149
prune\log\try310.out,out,80,0.77175,0.77175,0.77175,79
prune\log\try4.out,out,150,0.76781,0.6641,0.76781,149
prune\log\try410.out,out,80,0.72419,0.67746,0.72419,79
prune\log\try5.out,out,150,0.79306,0.67467,0.79306,149
prune\log\try510.out,out,300,0.86538,0.8375,0.86538,299
prune\log\try6.out,out,150,0.8102,0.73625,0.8102,149
prune\log\try7.out,out,150,0.84767,0.76273,0.84767,149
prune\log\try708.out,out,150,0.81454,0.74371,0.81454,149
prune\log\try710.out,out,400,0.90604,0.84283,0.90604,399
prune\log\try720.out,out,300,0.90498,0.86628,0.90498,299
prune\log\try73.out,out,150,0.82045,0.75928,0.82045,149
