"policy","mean_oa_seed0","mean_macs_seed0","mean_oa_seed1","mean_macs_seed1","mean_oa_seed2","mean_macs_seed2","mean_oa_3seed","mean_macs_3seed","std_oa_3seed","std_macs_3seed"
"static_1.0","0.730664023194973","0.999998390674591","0.74156834392958","0.999998390674591","0.772723546028457","0.999998390674591","0.74831863771767","0.999998390674591","0.0178218164976569","0"
"oracle","0.729210610656868","0.919679354537617","0.736000655898992","0.937727532603524","0.772954601355028","0.919754022901708","0.746055289303629","0.925720303347616","0.0192216183887902","0.00849044795222212"
"learned","0.729210610656868","0.919679354537617","0.736000655898992","0.937727532603524","0.772954601355028","0.919754022901708","0.746055289303629","0.925720303347616","0.0192216183887902","0.00849044795222212"
"static_0.8","0.720840445116907","0.803502261638641","0.739257790663874","0.803776443004608","0.759463951642356","0.803541004657745","0.739854062474379","0.803606569766998","0.0157736165612998","0.000121155390647345"
"utility","0.719647901495897","0.669856347820976","0.736932330602905","0.77718230269172","0.743603121482928","0.670215601270849","0.73339445119391","0.705751417261181","0.010094572277259","0.0505094764098997"
"learned_utility","0.715809401715772","0.656491756439209","0.736932330602905","0.77718230269172","0.740815550768818","0.656883060932159","0.731185761029165","0.696852373354363","0.0109876952091924","0.0568020624056916"
"static_0.65","0.715809401715772","0.656491756439209","0.69042312938353","0.657508671283722","0.740815550768818","0.656883060932159","0.71568269395604","0.65696116288503","0.0205728149817569","0.000418810925143519"
