dataset,protocol,setting,full_oa,full_oa_std,full_aa,full_aa_std,kappa,kappa_std,main_only_oa,main_only_oa_std,aux_only_oa,aux_only_oa_std,occlusion50_oa,occlusion50_oa_std,macs,macs_std,params,params_std
Houston2013,official split,80% p=0.25 multi-deg.,86.89841764368286,1.6549877968683184,88.91652761092882,1.1685589348288248,85.84107953497337,1.757486508785525,80.03607444453554,1.9327990873372638,38.044874422672244,0.8421317992074446,85.57022218578338,1.6408334519835068,80.00982021278105,0.13029751411584922,83.34359445198834,0.5371259004962257
Trento,fixed random split,80% p=0.25 multi-deg.,98.9431309179566,0.9386783690541699,98.24523461987489,1.60869267351843,98.5821725316919,1.26020578808955,92.88541135113681,3.15335410867183,69.7998525826388,17.0208911389622,98.1595509440381,1.8733258869384901,79.8974681841793,0.0955640484031582,80.5229192670176,0.45724391550279897
MUUFL,fixed random split,80% p=0.25 multi-deg.,86.86729194238256,1.78896505423026,89.31029569589464,1.414411174666213,82.98684769808976,2.216558646342077,83.03060526433563,2.1418617051959643,57.19610513327068,2.1410989647022722,85.99139446714106,2.076062238614844,79.96691160155615,0.07302774642225204,82.24570065598704,0.331341099966999
