variant,seed,full_aa,full_kappa,compact_params_ratio,compact_macs_ratio,compact_latency_ms,full_oa,main_only_oa,aux_only_oa,aux_noise_high_oa,aux_downsample_4_oa,aux_occlusion_50_oa
80% multi-deg.,0,88.43464097096401,82.46537639609237,82.45465971941717,80.04623500436371,1.8524200000683777,86.43957266432668,81.27049887795616,56.9921552831962,86.2669505341696,86.33983543356925,85.39616778871051
80% multi-deg.,1,90.94205796992367,85.41764855400021,82.41878013941135,79.90247289321479,2.0051400000738795,88.83134817883652,85.41534802539464,59.43188138941634,88.6990045457161,88.8255941078313,88.30005562268639
80% multi-deg.,2,88.55418814679624,81.07751814417671,81.86366210913259,79.95202690708993,2.0373399998788955,85.3309549839845,82.4059688896561,55.16427872719949,85.24272589523754,84.81308859351324,84.27795999002628
80% multi-deg. + weighted CE,0,89.11690075204073,83.42115245621106,81.70118853929492,79.98364532639084,1.84873999987758,87.29692924410686,82.90657306711165,50.555267852005294,87.4273548535589,86.07323014365997,87.21829027370198
80% multi-deg. + weighted CE,1,90.94503346065449,85.26562879978103,82.5722273998136,80.01301023993018,2.3744350000924896,88.70092256938452,84.68649903139804,59.773289602393696,88.61652952797438,88.80641387114717,89.04424880603027
80% multi-deg. + weighted CE,2,89.1883876669641,81.76260021717322,83.92594815739176,79.88036542387172,1.989309999953548,85.84306730345052,80.31340506741853,58.89675278592937,85.9178702265186,84.45058212018336,84.70567926808216
