protocol,split_seed,gate_mode,epochs,mode,runs,oa_mean,oa_std,aa_mean,aa_std,kappa_mean,kappa_std,train_accuracy_mean,train_accuracy_std,train_seconds_mean,train_seconds_std
official,42,deterministic,20,aux_noise,3,0.8546910442458528,0.010722912128071364,0.8793864598660314,0.009009289496458742,0.8429380295331643,0.011585494127603598,0.9944679849340866,0.003483674337793968,7.131358366537218,0.19112433730054842
official,42,deterministic,20,aux_only,3,0.2131945013801208,0.03213668011553037,0.21412857198210622,0.024267784203050587,0.164068912011681,0.031569723204473515,0.9944679849340866,0.003483674337793968,7.131358366537218,0.19112433730054842
official,42,deterministic,20,full,3,0.8601295400508322,0.01035478137074781,0.882887318519864,0.009234643757045522,0.8488005078749165,0.011224437313104092,0.9944679849340866,0.003483674337793968,7.131358366537218,0.19112433730054842
official,42,deterministic,20,main_only,3,0.4789702385832582,0.04640347751896601,0.4824612814188393,0.04653753428158796,0.4371000630219197,0.04985496785599377,0.9944679849340866,0.003483674337793968,7.131358366537218,0.19112433730054842
official,42,stochastic,20,aux_noise,1,0.42289087480528,0.0,0.4195610411507457,0.0,0.3830121101397194,0.0,0.9092514124293786,0.0,11.428717399947345,0.0
official,42,stochastic,20,aux_only,1,0.19283430351725833,0.0,0.14835336988114767,0.0,0.11829281667137724,0.0,0.9092514124293786,0.0,11.428717399947345,0.0
official,42,stochastic,20,full,1,0.4229728621792244,0.0,0.4192688127284145,0.0,0.38329238304526175,0.0,0.9092514124293786,0.0,11.428717399947345,0.0
official,42,stochastic,20,main_only,1,0.327703533655817,0.0,0.3597455334779315,0.0,0.27932363754468237,0.0,0.9092514124293786,0.0,11.428717399947345,0.0
random,42,deterministic,20,aux_noise,3,0.9655653029433467,0.007546847589386397,0.972115999458074,0.005688799515655089,0.9626131570970433,0.008186569062808957,0.9677495291902072,0.008521039452795757,7.184021433116868,0.1558696721534345
random,42,deterministic,20,aux_only,3,0.1834057555136509,0.01194626656841607,0.1914971727370426,0.009296792885390044,0.14628662796348066,0.011981178630177362,0.9677495291902072,0.008521039452795757,7.184021433116868,0.1558696721534345
random,42,deterministic,20,full,3,0.9739553442103249,0.0058403177016882295,0.9769742937807677,0.004651126090571011,0.9717179780084336,0.006341068924484439,0.9677495291902072,0.008521039452795757,7.184021433116868,0.1558696721534345
random,42,deterministic,20,main_only,3,0.5302396764231642,0.040735625654829306,0.5690475114202881,0.048169695533932765,0.49161047755702125,0.0442902736559021,0.9677495291902072,0.008521039452795757,7.184021433116868,0.1558696721534345
random,42,stochastic,20,aux_noise,1,0.3727965893252439,0.0,0.36826162939518026,0.0,0.3257787236394793,0.0,0.8721751412429378,0.0,9.028711099992506,0.0
random,42,stochastic,20,aux_only,1,0.20209887677297697,0.0,0.19818204726830457,0.0,0.14646987150820287,0.0,0.8721751412429378,0.0,9.028711099992506,0.0
random,42,stochastic,20,full,1,0.3744363368041322,0.0,0.3677006469599629,0.0,0.3271608246184799,0.0,0.8721751412429378,0.0,9.028711099992506,0.0
random,42,stochastic,20,main_only,1,0.27506763958350416,0.0,0.2826313305318473,0.0,0.21309146310208152,0.0,0.8721751412429378,0.0,9.028711099992506,0.0
