class_id,muufl_100_baseline_mean,muufl_100_baseline_std,muufl_80_p025_multideg_mean,muufl_80_p025_multideg_std,delta_80_minus_100
1.0,90.92772197205865,1.9535605342096458,88.24616095139129,2.231488768621252,-2.6815610206673597
2.0,84.61974110032362,3.669573280173951,86.20550161812298,1.6834118111683474,1.5857605177993577
3.0,76.643889879184,5.063297152523675,71.113091701327,4.831100155137236,-5.530798177857008
4.0,88.98170246618935,7.854697130666714,96.49960222752584,2.6255243267157615,7.517899761336494
5.0,87.59369741471623,4.388047252958051,89.64356738565091,0.7721847614577949,2.0498699709346795
6.0,99.78902953586498,0.18270578138912613,100.0,0.0,0.2109704641350163
7.0,93.02288366138583,3.4676481307810807,94.87918066890704,3.049275183924257,1.8562970075212064
8.0,94.58675424192666,2.0677488364438683,91.93212917350849,2.4488552600924685,-2.65462506841817
9.0,83.67071524966262,2.0232115877905716,77.92172739541161,3.799058204569596,-5.748987854251013
10.0,86.34538152610442,12.18794450240443,87.55020080321286,12.882742917546537,1.2048192771084416
11.0,98.61932938856016,1.3665095128748548,98.42209072978305,1.7081368910935664,-0.19723865877710978
