mode,selected_budget,target_budget,oa,expected_macs_ratio,metric_regret,resource_saving_vs_reference
aux_downsample_2,0.8,0.8,0.8071656964827416,0.8035022616386414,0.0,0.1964961290359497
aux_downsample_4,0.8,0.8,0.8056899237517422,0.8035022616386414,0.0,0.1964961290359497
aux_noise,0.8,0.65,0.7386242518652127,0.8035022616386414,0.012954005083217202,0.1964961290359497
aux_noise_high,0.8,0.8,0.7061572517832254,0.8035022616386414,0.007296876281052689,0.1964961290359497
aux_noise_low,0.8,1.0,0.7431335574321555,0.8035022616386414,0.03205706321226531,0.1964961290359497
aux_noise_mid,0.8,0.65,0.7394441256046569,0.8035022616386414,0.012134131343773058,0.1964961290359497
aux_occlusion_25,1.0,1.0,0.81716815610396,0.9999983906745911,0.0,0.0
aux_occlusion_50,1.0,1.0,0.7901943100762483,0.9999983906745911,0.0,0.0
aux_only,1.0,0.65,0.3049110436992703,0.9999983906745911,0.07083709108797248,0.0
full,0.8,0.8,0.8147085348856277,0.8035022616386414,0.0,0.1964961290359497
main_only,1.0,1.0,0.7328031483151595,0.9999983906745911,0.0,0.0
