state,learned_oa,learned_std,uniform_oa,uniform_std,delta,learned_macs,uniform_macs,runs
Full,86.89841764368286,1.6549877968683184,86.29171107649421,0.770550473054791,-0.6067065671886525,80.00982021278105,79.45404558096567,3
HSI only,80.03607444453554,1.9327990873372638,79.21620070509142,1.4735163532754143,-0.8198737394441196,80.00982021278105,79.45404558096567,3
LiDAR only,38.044874422672244,0.8421317992074446,37.76338443879643,1.463790368547794,-0.28148998387581514,80.00982021278105,79.45404558096567,3
Noise-high,84.55357874887267,2.819185656660031,84.93072066901696,0.8290460119765799,0.3771419201442967,80.00982021278105,79.45404558096567,3
Downsample-4,84.14910770408024,1.4593829329107562,82.88103632040665,0.7455443308229383,-1.2680713836735862,80.00982021278105,79.45404558096567,3
Occlusion-50,85.57022218578338,1.6408334519835068,84.99904348063731,0.6653786007976192,-0.5711787051460675,80.00982021278105,79.45404558096567,3
