mode,selected_budget,target_budget,oa,expected_macs_ratio,metric_regret,resource_saving_vs_reference
aux_downsample_2,0.8,1.0,0.8028203656636878,0.8037764430046082,0.010904320734606898,0.1962219476699829
aux_downsample_4,0.8,0.8,0.8009346560629663,0.8037764430046082,0.0017217348528326681,0.1962219476699829
aux_noise,0.8,0.8,0.7741247847831434,0.8037764430046082,0.0,0.1962219476699829
aux_noise_high,0.8,0.8,0.7528080675575961,0.8037764430046082,0.0,0.1962219476699829
aux_noise_low,0.8,0.8,0.7842912191522505,0.8037764430046082,0.0,0.1962219476699829
aux_noise_mid,0.8,0.8,0.7751086332704763,0.8037764430046082,0.0,0.1962219476699829
aux_occlusion_25,0.8,1.0,0.8066737722390752,0.8037764430046082,0.017955234893826333,0.1962219476699829
aux_occlusion_50,0.8,0.8,0.7827334590473067,0.8037764430046082,0.0,0.1962219476699829
aux_only,0.8,1.0,0.32934328113470523,0.8037764430046082,0.04058375010248422,0.1962219476699829
full,0.8,1.0,0.8101172419447406,0.8037764430046082,0.016971386406493316,0.1962219476699829
main_only,0.8,0.8,0.7128802164466672,0.8037764430046082,0.0,0.1962219476699829
