variant,method,family,mode,severity,severity_label,metric,metric_label,mean,std,runs
quality_multi_degradation_p025,Multi-deg. p=0.25,Noise,aux_noise_mid,0.25,mid,q_aux,Aux reliability,0.8930673248124551,0.00942075513404614,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Noise,aux_noise_mid,0.25,mid,fusion_aux,Aux fusion weight,0.4733939601163358,0.002410535797964045,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Noise,aux_noise_high,0.5,high,oa,Compact OA (%),84.55357874887267,2.819185656660031,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Noise,aux_noise_high,0.5,high,q_aux,Aux reliability,0.9085535711743801,0.008873206135856342,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Noise,aux_noise_high,0.5,high,fusion_aux,Aux fusion weight,0.4772262667199606,0.0022492554795008886,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Resolution loss,aux_downsample_2,0.5,2x,oa,Compact OA (%),86.04028312973135,1.3881150866119791,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Resolution loss,aux_downsample_2,0.5,2x,q_aux,Aux reliability,0.8722319528100099,0.0031816829497620124,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Resolution loss,aux_downsample_2,0.5,2x,fusion_aux,Aux fusion weight,0.4684032352061372,0.0008491726148885034,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Resolution loss,aux_downsample_4,0.75,4x,oa,Compact OA (%),84.14910770408024,1.4593829329107562,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Resolution loss,aux_downsample_4,0.75,4x,q_aux,Aux reliability,0.8255326690164555,0.007102430395269836,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Resolution loss,aux_downsample_4,0.75,4x,fusion_aux,Aux fusion weight,0.4571828616236869,0.0017047552567150375,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Occlusion,aux_occlusion_25,0.25,25%,oa,Compact OA (%),86.72351124593479,1.8271660858000447,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Occlusion,aux_occlusion_25,0.25,25%,q_aux,Aux reliability,0.8235151629547498,0.026918582802018406,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Occlusion,aux_occlusion_25,0.25,25%,fusion_aux,Aux fusion weight,0.456291923706922,0.006736575084334966,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Occlusion,aux_occlusion_50,0.5,50%,oa,Compact OA (%),85.57022218578338,1.6408334519835068,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Occlusion,aux_occlusion_50,0.5,50%,q_aux,Aux reliability,0.5280066046651319,0.030497888663127564,3
quality_multi_degradation_p025,Multi-deg. p=0.25,Occlusion,aux_occlusion_50,0.5,50%,fusion_aux,Aux fusion weight,0.38445265771672144,0.007328029018088906,3
