policy,mean_oa,mean_selected_budget,mean_expected_macs_ratio,routing_accuracy_vs_oracle,routing_accuracy_vs_utility,utility_resource_penalty,pareto_metric_tolerance,mean_metric_regret,mean_resource_saving_vs_reference,modes
static_0.65,0.6904231293835296,0.6500000000000001,0.6575086712837219,,,,,,,11
static_0.8,0.7392577906638742,0.7999999999999999,0.8037764430046082,,,,,,,11
static_1.0,0.7415683439295804,1.0,0.9999983906745911,,,,,,,11
oracle,0.7360006558989916,0.9363636363636364,0.9377275326035239,,,,,,,11
learned,0.7360006558989916,0.9363636363636364,0.9377275326035239,1.0,,,,,,11
utility,0.7369323306029053,0.7727272727272727,0.7771823026917197,,,0.2,,,,11
learned_utility,0.7369323306029053,0.7727272727272727,0.7771823026917197,,1.0,0.2,,,,11
