class_id,baseline_mean,weighted_ce_mean,delta_weighted_ce_minus_baseline
1.0,88.24616095139129,88.55213023900242,0.3059692876111342
2.0,86.20550161812298,79.2799352750809,-6.925566343042078
3.0,71.113091701327,78.57991681521094,7.466825113883942
4.0,96.49960222752586,95.48528241845663,-1.014319809069221
5.0,89.64356738565091,87.63959002600582,-2.0039773596450914
6.0,100.0,100.0,0.0
7.0,94.87918066890703,91.98271723475756,-2.8964634341494673
8.0,91.93212917350849,93.7055281882868,1.7733990147783203
9.0,77.92172739541161,79.8110661268556,1.889338731443985
10.0,87.55020080321285,94.77911646586345,7.228915662650607
11.0,98.42209072978304,97.43589743589745,-0.9861932938855915
