"variant","seed","run","full_oa","full_aa","kappa","main_only_oa","aux_only_oa","noise_high_oa","downsample4_oa","occlusion50_oa","macs_ratio","params_ratio","latency_ms"
"trento_100_baseline","0","trento_hsi-lidar_random_splitseed42_trainseed0_gatehard_concrete_budget100_metricmacs","0.9923796564041504","0.99048187674359","0.9897962265619914","0.8785167545500936","0.7119918353461473","0.983976866814084","0.9820377615240687","0.9712195951692465","1.0","1.0","1.8939049999971758"
"trento_100_baseline","1","trento_hsi-lidar_random_splitseed42_trainseed1_gatehard_concrete_budget100_metricmacs","0.9868685150535805","0.9827694723126473","0.9824363880328517","0.9505017860180303","0.7048817826160911","0.9792141520666781","0.9717639054260929","0.9850314679367239","1.0","1.0","2.0205349999741884"
"trento_100_baseline","2","trento_hsi-lidar_random_splitseed42_trainseed2_gatehard_concrete_budget100_metricmacs","0.9937404320462664","0.9906109418300052","0.9916109143736822","0.8917502976696717","0.41449226058853544","0.9928899472699438","0.9846912740261949","0.9375403980268753","1.0","1.0","2.144514999963576"
"trento_80_p025_multideg","0","trento_hsi-lidar_random_splitseed42_trainseed0_gatehard_concrete_budget80_metricmacs","0.995237285252594","0.9925975727195363","0.9936159115318886","0.9481544480353802","0.520632760673584","0.9957475761183875","0.9922095594488859","0.9938084708283722","0.800064698352627","0.8036576762359581","1.9642400000520865"
"trento_80_p025_multideg","1","trento_hsi-lidar_random_splitseed42_trainseed1_gatehard_concrete_budget80_metricmacs","0.9786018030277258","0.9639040141851822","0.9712827405181873","0.8924647048817826","0.7133526109882633","0.9768668140840279","0.9765266201734989","0.9600272155128423","0.7985784913921045","0.80164975307972","2.1626900001137983"
"trento_80_p025_multideg","2","trento_hsi-lidar_random_splitseed42_trainseed2_gatehard_concrete_budget80_metricmacs","0.9944548392583773","0.9908554516915286","0.99256652390068","0.9459431876169416","0.8600102058173159","0.9943187616941657","0.9866303793162102","0.9909508419799286","0.7982808557806471","0.81038014869485","2.3669449999943026"
