"seed","mean_oa","mean_macs","routing_accuracy_vs_pareto","mean_regret","mean_saving","heldout_modes"
"0","0.727272727272727","0.874955399469896","0.636363636363636","0.0122981060916619","0.125042991204695","11"
"1","0.739257790663874","0.803776443004608","0.636363636363636","0.00801240245365849","0.196221947669983","11"
"2","0.772723546028457","0.999998390674591","0.727272727272727","0.00433787742142256","0","11"
"mean","0.746418021321686","0.892910077716365","0.666666666666667","0.00821612865558098","0.107088312958226","11"
