variant,seed,run_dir,full_oa,full_aa,full_kappa,main_only_oa,main_only_aa,main_only_kappa,aux_only_oa,aux_only_aa,aux_only_kappa,aux_noise_high_oa,aux_noise_high_aa,aux_noise_high_kappa,aux_downsample_4_oa,aux_downsample_4_aa,aux_downsample_4_kappa,aux_occlusion_50_oa,aux_occlusion_50_aa,aux_occlusion_50_kappa,macs_ratio,params_ratio,compact_full_latency_ms
muufl_100_baseline,0,output\muufl_formal\muufl_100_baseline\muufl_hsi-lidar_random_splitseed42_trainseed0_gatehard_concrete_budget100_metricmacs,89.30126397759747,88.64755207020845,85.97269772913899,74.41740031071984,70.99227907219556,67.48754633307689,27.55432802040777,40.37053778759495,20.276545888586572,89.39524713734967,88.62055466482578,86.07615272838669,85.27916834493737,84.35381045957988,80.8412388857972,79.87225962368376,69.4742107398971,73.65020953365942,100.0,100.0,1.7025249999278458
muufl_100_baseline,1,output\muufl_formal\muufl_100_baseline\muufl_hsi-lidar_random_splitseed42_trainseed1_gatehard_concrete_budget100_metricmacs,87.14732339797074,90.62834624474844,83.33825292065548,66.14496422885858,71.6356237526342,58.85299777003521,25.89331952356292,35.76382985421885,17.240766887693177,87.2221263210388,90.56234166094963,83.40993652562386,82.6917544162495,85.54472092908398,77.85526130476077,77.86984291386155,73.81725219119016,71.74522932639371,100.0,100.0,1.773354999932053
muufl_100_baseline,2,output\muufl_formal\muufl_100_baseline\muufl_hsi-lidar_random_splitseed42_trainseed2_gatehard_concrete_budget100_metricmacs,89.09603544507739,89.30615071303673,85.70020593800336,72.70268715115945,71.64958676218357,65.59728107473805,25.260371712986938,37.238442735536445,17.159492884667568,88.93875750426761,88.74409187371062,85.47534716444373,84.37769722078372,83.25088377668169,79.78222097720702,82.49803402573987,76.57061458032796,76.94503218766572,100.0,100.0,2.232919999914884
muufl_80_p025_multideg,0,output\muufl_formal\muufl_80_p025_multideg\muufl_hsi-lidar_random_splitseed42_trainseed0_gatehard_concrete_budget80_metricmacs,86.43957266432668,88.43464097096401,82.46537639609237,81.27049887795616,85.53986745308353,76.14245225666798,56.9921552831962,57.44664096526532,46.5062353301992,86.2669505341696,88.21576801825054,82.23208617450285,86.33983543356925,87.10597677973885,82.30379800600441,85.39616778871051,88.37507575451707,81.19466252390848,80.04623500436371,82.45465971941717,1.8524200000683777
muufl_80_p025_multideg,1,output\muufl_formal\muufl_80_p025_multideg\muufl_hsi-lidar_random_splitseed42_trainseed1_gatehard_concrete_budget80_metricmacs,88.83134817883652,90.94205796992367,85.41764855400021,85.41534802539464,84.84268627922809,81.07615800729889,59.43188138941634,58.92931835239942,49.8578977876371,88.6990045457161,90.70590312591213,85.23175550261183,88.8255941078313,89.41747149301555,85.38459416707333,88.30005562268639,90.55982211157794,84.76570890718162,79.90247289321479,82.41878013941135,2.0051400000738795
muufl_80_p025_multideg,2,output\muufl_formal\muufl_80_p025_multideg\muufl_hsi-lidar_random_splitseed42_trainseed2_gatehard_concrete_budget80_metricmacs,85.3309549839845,88.55418814679624,81.07751814417671,82.4059688896561,86.99191655309933,77.49224082504982,55.16427872719949,56.57170698122371,43.61943595180116,85.24272589523754,88.69369642502947,80.93315808445215,84.81308859351324,86.93730937392404,80.47329694492001,84.27795999002628,88.28854417585791,79.82752030256005,79.95202690708993,81.86366210913259,2.0373399998788955
