state,source_oa,source_std,compact_oa,compact_std,delta,compact_macs,compact_params,runs
Full,86.15233254078872,1.2803687605994902,86.89841764368286,1.6549877968683184,0.746085102894142,80.00982021278105,83.34359445198834,3
HSI only,78.180426880927,1.6753199229227005,80.03607444453554,1.9327990873372638,1.8556475636085423,80.00982021278105,83.34359445198834,3
LiDAR only,38.4329479926758,2.800709974736034,38.044874422672244,0.8421317992074446,-0.3880735700035558,80.00982021278105,83.34359445198834,3
Noise-high,84.26115711513759,0.7776852848769363,84.55357874887267,2.819185656660031,0.29242163373507424,80.00982021278105,83.34359445198834,3
Downsample-4,83.85122024541553,1.5467246395548666,84.14910770408024,1.4593829329107562,0.2978874586647038,80.00982021278105,83.34359445198834,3
Occlusion-50,84.59183952338006,0.9622374830958871,85.57022218578338,1.6408334519835068,0.9783826624033196,80.00982021278105,83.34359445198834,3
