policy,mean_oa,mean_selected_budget,mean_expected_macs_ratio,routing_accuracy_vs_oracle,routing_accuracy_vs_utility,utility_resource_penalty,pareto_metric_tolerance,mean_metric_regret,mean_resource_saving_vs_reference,modes
pareto_delta_0,0.7472701931175326,0.890909090909091,0.8929682374000549,,,,0.0,0.0,0.10703015327453613,11
pareto_delta_0.005,0.7471136717672752,0.8727272727272729,0.8751298785209656,,,,0.005,0.00015652135025751528,0.12486851215362549,11
pareto_delta_0.01,0.7471136717672752,0.8727272727272729,0.8751298785209656,,,,0.01,0.00015652135025751528,0.12486851215362549,11
pareto_delta_0.02,0.7429472224913728,0.8181818181818182,0.8216148018836975,,,,0.02,0.004322970626159928,0.17838358879089355,11
pareto_delta_0.03,0.7404279740919898,0.8045454545454546,0.8083177317272533,,,,0.03,0.006842219025542788,0.19168065894733777,11
utility_lambda_0,0.7472701931175326,0.890909090909091,0.8929682374000549,,,0.0,,0.0,0.10703015327453613,11
utility_lambda_0.05,0.7471136717672752,0.8727272727272729,0.8751298785209656,,,0.05,,0.00015652135025751528,0.12486851215362549,11
utility_lambda_0.1,0.7429472224913728,0.8181818181818182,0.8216148018836975,,,0.1,,0.004322970626159928,0.17838358879089355,11
utility_lambda_0.15,0.7394515790022883,0.7863636363636364,0.7904793728481639,,,0.15,,0.007818614115244427,0.20951901782642712,11
utility_lambda_0.2,0.7369323306029053,0.7727272727272727,0.7771823026917197,,,0.2,,0.010337862514627287,0.2228160879828713,11
utility_lambda_0.3,0.7331161910156745,0.759090909090909,0.7638852325352755,,,0.3,,0.014154002101858132,0.23611315813931552,11
