mode,selected_budget,oa,expected_macs_ratio
aux_downsample_2,1.0,0.7792899893416414,1.0
aux_downsample_4,1.0,0.7669918832499795,1.0
aux_noise,1.0,0.7621546281872592,1.0
aux_noise_high,1.0,0.7597769943428712,1.0
aux_noise_low,1.0,0.7652701483971468,1.0
aux_noise_mid,1.0,0.760350905960482,1.0
aux_occlusion_25,1.0,0.7870787898663606,1.0
aux_occlusion_50,1.0,0.7671558579978683,1.0
aux_only,0.65,0.36213823071247025,0.36436947804978725
full,1.0,0.7922439944248586,1.0
main_only,0.65,0.7056653275395589,0.5312736479514117
