policy,mean_oa,mean_selected_budget,mean_expected_macs_ratio,routing_accuracy_vs_oracle,modes
static_0.65,0.3149433169110139,0.6500000000000001,0.6134577894955968,,11
static_0.8,0.4265877600304098,0.7999999999999999,0.7538589436273042,,11
static_1.0,0.5931562902949309,1.0,0.94203521361443,,11
oracle,0.4136561151400866,0.7727272727272727,0.7361135990629714,,11
learned,0.4136561151400866,0.7727272727272727,0.7361135990629714,1.0,11
