"policy","mean_oa_seed0","mean_macs_seed0","mean_oa_seed1","mean_macs_seed1","mean_oa_2seed","mean_macs_2seed","interpretation"
"static_1.0","0.730664023194973","0.999998390674591","0.74156834392958","0.999998390674591","0.736116183562277","0.999998390674591","Regenerated with current resource-stat backfill convention."
"oracle","0.729210610656868","0.919679354537617","0.736000655898992","0.937727532603524","0.73260563327793","0.928703443570571","Regenerated with current resource-stat backfill convention."
"learned","0.729210610656868","0.919679354537617","0.736000655898992","0.937727532603524","0.73260563327793","0.928703443570571","Regenerated with current resource-stat backfill convention."
"static_0.8","0.720840445116907","0.803502261638641","0.739257790663874","0.803776443004608","0.73004911789039","0.803639352321625","Regenerated with current resource-stat backfill convention."
"utility","0.719647901495897","0.669856347820976","0.736932330602905","0.77718230269172","0.728290116049401","0.723519325256348","Regenerated with current resource-stat backfill convention."
"learned_utility","0.715809401715772","0.656491756439209","0.736932330602905","0.77718230269172","0.726370866159339","0.716837029565464","Regenerated with current resource-stat backfill convention."
"static_0.65","0.715809401715772","0.656491756439209","0.69042312938353","0.657508671283722","0.703116265549651","0.657000213861465","Regenerated with current resource-stat backfill convention."
