class_id,muufl_100_baseline_mean,muufl_100_baseline_std,muufl_80_p025_multideg_mean,muufl_80_p025_multideg_std,delta_80_minus_100
1,90.92772197205866,1.953560534209646,88.24616095139129,2.231488768621252,-2.681561020667374
2,84.61974110032362,3.669573280173951,86.20550161812298,1.6834118111683474,1.5857605177993577
3,76.643889879184,5.063297152523675,71.113091701327,4.831100155137236,-5.530798177857008
4,88.98170246618935,7.854697130666714,96.49960222752586,2.6255243267157615,7.517899761336508
5,87.59369741471623,4.388047252958051,89.64356738565091,0.7721847614577949,2.0498699709346795
6,99.78902953586497,0.18270578138912613,100.0,0.0,0.2109704641350305
7,93.02288366138583,3.4676481307810807,94.87918066890703,3.049275183924257,1.8562970075211922
8,94.58675424192666,2.0677488364438683,91.93212917350849,2.4488552600924685,-2.65462506841817
9,83.6707152496626,2.0232115877905716,77.92172739541161,3.799058204569596,-5.7489878542509985
10,86.34538152610442,12.187944502404429,87.55020080321285,12.882742917546537,1.2048192771084274
11,98.61932938856016,1.3665095128748548,98.42209072978304,1.7081368910935664,-0.197238658777124
