policy,mean_oa,mean_selected_budget,mean_expected_macs_ratio,routing_accuracy_vs_oracle,routing_accuracy_vs_utility,utility_resource_penalty,modes
static_0.65,0.7158168551134035,0.6500000000000001,0.6121049144854339,,,,11
static_0.8,0.7231211847920874,0.7999999999999999,0.7571811597245738,,,,11
static_1.0,0.7460627427012604,1.0,0.94203521361443,,,,11
oracle,0.7500950308197992,0.9181818181818181,0.8834808198641452,,,,11
learned,0.7500950308197992,0.9181818181818181,0.8834808198641452,1.0,,,11
utility,0.7194690199527455,0.6636363636363638,0.6261236546074584,,,0.2,11
learned_utility,0.7158168551134035,0.6500000000000001,0.6121049144854339,,0.9090909090909091,0.2,11
