train_epoch,400
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/prune_huston_try
log_root,../output/logs/prune_huston_try
load_root,../output/models/prune_huston_repair/hsi_lidar_osc_0.3_l1_0.0001_gama_1.003.pth
p,"[0, 0]"
modal,multi
model_name,hsi_lidar_osc_0.8_l1_1e-05_gama_1.005
log_name,hsi_lidar_osc_0.8_l1_1e-05_gama_1.005
backbone,couple_cross_fc
patch_size,7
location,after
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,1e-05
gama,1.005
osc,0.8
t_max,2.0
temp_epoch,5
gpu,0
version,0
name,hsi_lidar_osc_0.8_l1_1e-05_gama_1.005
train_epoch,400
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/prune_huston_try
log_root,../output/logs/prune_huston_try
load_root,../output/models/prune_huston_repair/hsi_lidar_osc_0.3_l1_0.0001_gama_1.003.pth
p,"[0, 0]"
modal,multi
model_name,hsi_lidar_osc_0.8_l1_1e-05_gama_1.005
log_name,hsi_lidar_osc_0.8_l1_1e-05_gama_1.005
backbone,couple_cross_fc
patch_size,7
location,after
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,1e-05
gama,1.005
osc,0.8
t_max,2.0
temp_epoch,5
gpu,0
version,0
name,hsi_lidar_osc_0.8_l1_1e-05_gama_1.005
0.0,0.0,0.0,0.0,0.076494,0.059746601461298864,-0.009812375056392932,0
8.14633730020416,5.440884965189388,2.701032957334197,441.9530029296875,0.101828,0.07857029190060898,0.016939054916494303,0
8.021798428524747,5.372913515969609,2.644461586234275,442.3459695537438,0.146265,0.12395537597430771,0.06996783711067105,0
7.883297207650174,5.291321733024683,2.587548443440641,442.7154067821717,0.296958,0.26354387332939594,0.24078854898542545,0
7.761827977855554,5.223259786541543,2.534137500805801,443.06370115815923,0.32713,0.32497560462696645,0.2745669286652316,0
7.628580039806581,5.1589143892352505,2.4652315230851762,443.4106133278836,0.329671,0.3632205084683486,0.2850135822211923,0
7.426779575562209,5.06312486027064,2.359217450859841,443.7258623101738,0.365746,0.3617680790707041,0.32286373898792825,0.365746
7.324472063043144,5.039007819100712,2.2810236496871776,444.05754860867273,0.320899,0.36274017769397593,0.2775434614338292,0.365746
7.188863223858094,4.962443249948909,2.221976033757242,444.39515325996314,0.389686,0.41548602777545,0.3463809106827557,0.389686
7.004192700546779,4.875502034519496,2.12424330898885,444.7377785671963,0.3878,0.4657167618229507,0.3494732852364486,0.389686
6.913250290945674,4.829695503363449,2.0791039507040816,445.0829138595067,0.359515,0.41975272485627285,0.32284518076663715,0.389686
6.695351214891069,4.7323724607403355,1.9585245834307725,445.41645692975334,0.379438,0.4470915689386935,0.3399625480094682,0.389686
6.60281210267142,4.725742066844126,1.8726126678873984,445.7366662186183,0.397065,0.44639572293796687,0.35833643707837065,0.397065
6.636166347546524,4.681855646412024,1.94984977164965,446.091582909059,0.408051,0.4893850211382053,0.3686269802801817,0.408051
6.4339964202280795,4.6116145809045,1.8179174286595892,446.44300482246314,0.37583,0.42607943116594316,0.3399219793435806,0.408051
6.329576219065806,4.561432800935895,1.7636756160286036,446.780006665862,0.364598,0.46260333237914336,0.3261913418070645,0.408051
6.347140596154031,4.576530515477899,1.766138781322522,447.12909209862187,0.386734,0.40890581587410046,0.34628713957373514,0.408051
6.024788229653005,4.421137501684467,1.5991760465536224,447.4682562324438,0.380503,0.42190143990748524,0.3432082703410873,0.408051
6.070512016167801,4.422987911138642,1.6430460201220567,447.80816753258864,0.534312,0.5807291807177678,0.5017294440705256,0.534312
5.952938829914907,4.369001048334529,1.5794560092218806,448.17793908279936,0.420759,0.48422374434411863,0.3857363781390977,0.534312
5.895600276046924,4.338289735022555,1.5528253156147647,448.5192236739598,0.463229,0.5198458824958554,0.4261343619315879,0.534312
5.693917135174355,4.269121834401334,1.4203064964058694,448.8808226853274,0.54374,0.6165296660463523,0.5121932577485857,0.54374
5.70275836044483,4.2099515454153,1.4883143312475655,449.2475952834226,0.472411,0.5376988873485881,0.43799961726803344,0.54374
5.69045395797558,4.2431296043181685,1.4428284744198403,449.59135179841115,0.562679,0.6039965422303738,0.5313847693907782,0.562679
5.5744664481516635,4.186669389853317,1.3832978398612377,449.92268080122017,0.577847,0.6592401724493138,0.5500178712889071,0.577847
5.349356913834475,4.137513024083684,1.2073409785045666,450.2886489696717,0.571534,0.6112763940015833,0.5428551721394757,0.577847
5.252539345387662,4.056202797407515,1.1918300899227015,450.64366578520014,0.655407,0.6982208790078117,0.6291724776559531,0.655407
5.297445859801903,4.069375675715757,1.2235601209522633,451.00820854272735,0.605149,0.6865805027409022,0.5784625028896277,0.655407
5.223139500350095,4.082859781350982,1.1357659690835502,451.37728573231215,0.539477,0.6266600908081004,0.508342590217175,0.655407
5.350632496094436,4.050491788414087,1.2956234149718553,451.7280849499649,0.643847,0.6799321675462555,0.6170878385180526,0.655407
5.3063587606622935,4.041138957055767,1.2606990196731653,452.0779744694742,0.462245,0.48566955679420604,0.4287558753099023,0.655407
5.12978817907612,4.030720954530694,1.0945428013801575,452.43937323066626,0.574404,0.6393206844191135,0.5447289874035991,0.655407
5.143816412164924,3.9855266528183155,1.1537617699483806,452.80211133635447,0.643683,0.7119288729985676,0.6191331785216797,0.655407
5.053934949167659,4.010296368866824,1.0391069858261708,453.15737469276684,0.644667,0.6929711270304507,0.6199440840111856,0.655407
4.8777855594506425,3.838721543215634,1.0345287684644207,453.52258163623594,0.655243,0.723500111855399,0.6301264564907824,0.655407
4.795824849203731,3.8845251865601274,0.9067608921715383,453.8774009447419,0.673772,0.7344923147197124,0.6504273290909371,0.673772
4.836918595131864,3.847391701816173,0.9849846269307512,454.22735972886676,0.666147,0.7306988599858507,0.6420641236432298,0.673772
5.140824650110823,3.9643428272075867,1.1719358690669028,454.59216548619645,0.622694,0.6836227781769061,0.5967164407397699,0.673772
4.778952802165171,3.870716338747003,0.9036869125419789,454.9541214503599,0.686234,0.7050652711759445,0.6617032531352915,0.686234
4.973779094353151,3.8977911686629394,1.0714345735110593,455.333591761214,0.629827,0.6923353254371414,0.6034519450409283,0.686234
4.797780168190431,3.866240820188201,0.9269822835922241,455.70998116825405,0.603509,0.6338358579933261,0.5776801025416741,0.686234
4.656623706389009,3.7592123679900435,0.8928506548485059,456.0704554868548,0.71288,0.7708866129090554,0.6914331125388019,0.71288
4.742202056927628,3.788773740275522,0.9488639242193672,456.43903410836555,0.694679,0.7407685603783136,0.6710406700102639,0.71288
4.639420865626818,3.7483088461200844,0.8865439014488392,456.8118752468838,0.677872,0.7416057123345753,0.6554419254152933,0.71288
4.476068073444152,3.6914606469400812,0.7800354174013888,457.20207848709623,0.705501,0.7611491769072825,0.6835959526032959,0.71288
4.55321125769883,3.7042963290482422,0.8443389622013221,457.5960281886411,0.694761,0.7487605095961621,0.671427995682368,0.71288
4.654929431636682,3.7058102334483287,0.9445395235265239,457.96823257274843,0.69845,0.7544280007158071,0.6754520526913035,0.71288
4.604301511571649,3.6537559005651583,0.9459623205527831,458.3292644372147,0.596622,0.6338711324819026,0.5657200898945057,0.71288
4.524804259953874,3.703310098540917,0.8169068406137188,458.73174568776335,0.694269,0.728994842514768,0.6713801627934152,0.71288
4.312886910492114,3.6187213163697316,0.6895744107412488,459.11705342839275,0.757235,0.7789596340709026,0.7377139932823015,0.757235
4.2535082142004805,3.5800040920128984,0.6689093022534017,459.48047217894134,0.692793,0.7476118574911452,0.6708969057285601,0.757235
4.520665902769967,3.7029548736100786,0.8131125488977754,459.84927779637025,0.734853,0.7781538183724838,0.7149345432464309,0.757235
4.304939623629109,3.622232193357489,0.6781050392081228,460.2423503747147,0.672788,0.7029050927194077,0.6461236657399307,0.757235
4.347070996680956,3.611076826459906,0.7313878954796309,460.62965033027564,0.545872,0.5698130223829929,0.5100465478331866,0.757235
4.109500740351302,3.490479905953568,0.6144105992960126,461.02051912800647,0.634008,0.6932570359204944,0.6064479568465284,0.757235
4.373476791917608,3.562138008267692,0.8067246548245463,461.41498625680305,0.668033,0.7305620109920347,0.6443950184923022,0.757235
4.365884199571074,3.5777211350001648,0.7835449516103509,461.8119040499912,0.76445,0.803775907571698,0.7456438257987932,0.76445
4.168793796153551,3.482700575603528,0.6814712366361296,462.19975777958217,0.769452,0.8078804914173794,0.7514593240133446,0.769452
4.113944372434295,3.4902051593480485,0.6191134586762846,462.57777936271066,0.784537,0.8124900776648568,0.7669680826623125,0.784537
4.008930629558778,3.393577945366334,0.6107231468966837,462.9518209735999,0.732393,0.7831764803492504,0.7121495865668354,0.784537
4.079404244262181,3.439498025379824,0.6352725527929456,463.3640987096208,0.744281,0.792013304792574,0.7244067151826448,0.784537
4.014822041050771,3.404396292868625,0.6057881599061945,463.75875991649843,0.753054,0.794544010576994,0.7338435102812445,0.784537
4.010728814628687,3.4346027106381536,0.5714843232979935,464.17815304874034,0.726982,0.7791294883952471,0.706917310330965,0.784537
3.8533486810962807,3.298596057999,0.5501070668858089,464.55598329694084,0.79044,0.8208396839114633,0.7737948451898127,0.79044
4.041030787350087,3.4413646258664934,0.5950167363279322,464.94314918089447,0.731983,0.7441812446682802,0.7103648602226303,0.79044
4.112811340374893,3.4521494367149437,0.6560083875495396,465.350666517622,0.687792,0.7039243881916022,0.6642407759351409,0.79044
4.009140574530269,3.411861240194085,0.5926217604219244,465.757211063685,0.785357,0.8134681890040062,0.7681816364714583,0.79044
3.8323000388199024,3.3443850372614485,0.48325354195712655,466.14717359221385,0.678118,0.6638138500500722,0.6536216247445538,0.79044
3.8707967822471363,3.305823535061954,0.5603076818953739,466.55714090754475,0.70378,0.7555639728288495,0.6819131730025797,0.79044
3.8858659187059725,3.3505448116345353,0.5306516570991344,466.94642759173104,0.761089,0.7955207141669123,0.7426532425750046,0.79044
4.107359144125092,3.4972814870684332,0.6054041733902492,467.35085888123245,0.615725,0.6837449194411676,0.5881105344646831,0.79044
