train_epoch,400
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/dw_prun4
log_root,../output/logs/dw_prun4
modal,multi
model_name,hsi_lidardw_prun4
log_name,hsi_lidardw_prun4
backbone,couple_cross_fc
patch_size,7
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.003
gama,1.003
osc,0.4
t_max,2.0
gpu,1
version,0
identity,dw_prun4
name,hsi_lidardw_prun4
0.0,0.08789,0.06666666666666667,-5.096629213495428e-07,0
2.7362244852473228,0.052636,0.06185288817401277,-0.010160739603447865,0
2.677756087163861,0.163483,0.17815793579485828,0.10246176673813066,0
2.6734504163934942,0.174223,0.13416932861377304,0.09600843652697935,0
2.6271546047725036,0.276379,0.24700660995287646,0.21230161563997252,0
2.592880026678021,0.370583,0.35200341365016485,0.3219036048753246,0
train_epoch,400
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/dw_prun4
log_root,../output/logs/dw_prun4
modal,multi
model_name,hsi_lidardw_prun4
log_name,hsi_lidardw_prun4
backbone,couple_cross_fc
patch_size,7
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.003
gama,1.003
osc,0.4
t_max,2.0
gpu,1
version,0
identity,dw_prun4
name,hsi_lidardw_prun4
2.548600352212284,0.232516,0.22663758939360773,0.17999916963993315,0.232516
0.0,0.08789,0.06666666666666667,-5.096629213495428e-07,0
2.5347590928667048,0.323604,0.28519417912618,0.27315835902579516,0.323604
2.7362244852473228,0.052636,0.06185288817401277,-0.010160739603447865,0
2.5573842686213806,0.318193,0.2452766646414086,0.25625466246538,0.323604
2.677756087163861,0.163483,0.17815793579485828,0.10246176673813066,0
2.5076501423053528,0.236124,0.25705254543986344,0.1941816842954378,0.323604
2.6734504163934942,0.174223,0.13416932861377304,0.09600843652697935,0
2.450331698642688,0.285972,0.27561846934335904,0.23832942299299115,0.323604
2.6271546047725036,0.276379,0.24700660995287646,0.21230161563997252,0
2.407487813006626,0.294499,0.27281210760402363,0.23778721577337578,0.323604
2.592880026678021,0.370583,0.35200341365016485,0.3219036048753246,0
