train_epoch,80
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/prune_huston_try1
log_root,../output/logs/prune_huston_try1
load_root,../output/models/prune_huston_repair/hsi_lidar_osc_0.3_l1_0.0001_gama_1.003.pth
p,"[0, 0]"
modal,multi
model_name,hsi_lidar_osc_0.7_l1_0.001_gama_1.01
log_name,hsi_lidar_osc_0.7_l1_0.001_gama_1.01
backbone,couple_cross_fc
patch_size,7
location,after
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.001
gama,1.01
osc,0.7
t_max,2.0
temp_epoch,5
gpu,0
version,0
name,hsi_lidar_osc_0.7_l1_0.001_gama_1.01
train_epoch,80
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/prune_huston_try1
log_root,../output/logs/prune_huston_try1
load_root,../output/models/prune_huston_repair/hsi_lidar_osc_0.3_l1_0.0001_gama_1.003.pth
p,"[0, 0]"
modal,multi
model_name,hsi_lidar_osc_0.7_l1_0.001_gama_1.01
log_name,hsi_lidar_osc_0.7_l1_0.001_gama_1.01
backbone,couple_cross_fc
patch_size,7
location,after
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.001
gama,1.01
osc,0.7
t_max,2.0
temp_epoch,5
gpu,0
version,0
name,hsi_lidar_osc_0.7_l1_0.001_gama_1.01
0.0,0.0,0.0,0.0,0.085349,0.06666666666666667,1.5713517388853664e-07,0
8.56375235653995,5.440170229151008,2.695295623179232,428.28662109375,0.125933,0.09721014848543758,0.043232752993425785,0
8.434175223446964,5.364223930273163,2.640984985265839,428.9662554451589,0.190293,0.16375443728125286,0.1177604279349458,0
8.332747963037384,5.306301068723871,2.596818739108825,429.6281103927098,0.27515,0.246950511128854,0.2160873002421913,0
8.227565845746673,5.242657597145338,2.5546412280436313,430.2670089207339,0.342789,0.3460811275919855,0.29036120983131425,0
8.10477503765835,5.184066959981168,2.489801538124513,430.90654488895717,0.296548,0.3176237818704432,0.24818268133637877,0
7.909978839788544,5.085650160071555,2.3928329221318276,431.4957302822156,0.36427,0.35352581493810953,0.32143093924609484,0.36427
7.806347723757283,5.06406880496593,2.3101564953836164,432.1224145782128,0.305567,0.3325558902898141,0.2605506048702018,0.36427
7.660208793168657,4.980688062946448,2.2467731893732306,432.7475349340546,0.367877,0.38670916814028833,0.32431212903019313,0.367877
7.4877211431439,4.900171028094345,2.1541495899136147,433.40052469660725,0.391162,0.4648545798073531,0.3526374170199702,0.391162
7.456205855594592,4.884812537204014,2.137342608376835,434.05070684197244,0.336148,0.38442993940497583,0.29907206025219163,0.391162
7.216753359591023,4.770272415675474,2.011794959561209,434.68594737535113,0.374846,0.4328463425592991,0.3365335282386977,0.391162
7.104150541712729,4.7490538157773825,1.9197988885172297,435.29781795887465,0.390178,0.43627109363292665,0.3510315324360684,0.391162
7.16076721234268,4.729424385542281,1.995365023612976,435.97778971811357,0.38739,0.4496856825519515,0.34733811460959185,0.391162
7.031693512134337,4.685642896073587,1.9093922390026992,436.6583677141854,0.378372,0.4430353659257031,0.34255883807633186,0.391162
6.843244970514533,4.6042360241493485,1.8017054568515736,437.3034931997235,0.341969,0.4316408772780095,0.3028851785616886,0.391162
6.881371883863814,4.638483792208554,1.804912896638506,437.9751391464405,0.386079,0.4061333845624645,0.34830369103764725,0.391162
6.568795761365569,4.480083926340168,1.6500802669632302,438.63155922193204,0.390096,0.42449959059920384,0.3548781710165966,0.391162
6.692943931965345,4.52777209442653,1.7258703480945545,439.3014996132154,0.471263,0.5200488762285512,0.4361312283281129,0.471263
6.435830410946621,4.39529708798012,1.6005203442627125,440.01295419757287,0.413052,0.4549632535472254,0.37881868894527454,0.471263
6.453961040196794,4.413068511512842,1.600211652477136,440.6808677416169,0.442732,0.4954158774519929,0.4067571145774713,0.471263
6.273544616913528,4.340892175610146,1.4912593485264296,441.39306469177933,0.510863,0.5795063723551941,0.47713115198787964,0.510863
6.285815640781703,4.2990321389744794,1.5446662393848547,442.117255393039,0.462737,0.52872806175766,0.42646664664663475,0.510863
6.269013849537024,4.304259782426812,1.5219554633237002,442.79857266886853,0.48225,0.5431286038586182,0.44670622494342727,0.510863
6.21642151307524,4.273635987485393,1.4993223032254852,443.46319991551087,0.55817,0.6409011503622308,0.5291048694336324,0.55817
5.981354161594691,4.249349141388796,1.2878082809823284,444.19671150807585,0.527097,0.5708231094319433,0.49494028860221617,0.55817
5.8788304918267755,4.146140821864096,1.2877783011854365,444.9113272334752,0.578257,0.6325088956836087,0.5482651072213369,0.578257
5.871964818975899,4.138122483585658,1.28819605741608,445.64628721087166,0.578339,0.6632108293248505,0.549806964867508,0.578339
5.826623895195093,4.1557506202312,1.2244768859295363,446.3963129279319,0.546774,0.6360658025100023,0.5156288776353,0.578339
5.9503796770331565,4.121497451589349,1.3817705264252222,447.1116624467828,0.622858,0.693236493079555,0.5957041943655879,0.622858
5.836039586013623,4.070685609003132,1.3175261583221092,447.8277615322156,0.596212,0.6587156694833148,0.5690502233052843,0.622858
5.683335979333084,4.08230435446407,1.1524648411890095,448.5667326852177,0.618841,0.6734283618254745,0.5929562430886188,0.622858
5.72011313813456,4.044043634714705,1.2267695504627871,449.2998962402344,0.589817,0.6718669747469501,0.5627157312895051,0.622858
5.614342164457514,4.045502686768435,1.1188078629836609,450.0315808928415,0.604083,0.657306178809596,0.57715015892949,0.622858
5.534284972072987,3.9514918407697355,1.1320076825913419,450.78541102034325,0.6213,0.6810211344468506,0.594918444026823,0.622858
5.458167033249072,4.000283785080642,1.006356411435631,451.52679031886413,0.680085,0.7378081810464896,0.6572392663123781,0.680085
5.489568790692962,3.951780043291242,1.0855297385976557,452.25899102714624,0.604903,0.6838953289389782,0.5783423247158562,0.680085
5.767342787110404,4.048926648129238,1.2653917643461334,453.02435885654404,0.5594,0.6399625110630623,0.530279740922768,0.680085
5.425379458438145,3.974245692906755,0.9973496466540219,453.784076476365,0.654751,0.6886155053706935,0.6287458844244636,0.680085
5.623283745197767,3.9877354402220653,1.180965074662412,454.5832234929117,0.675494,0.7333807371199726,0.652030259923244,0.680085
5.420013690262698,3.944077633739857,1.0205568443523365,455.3791922237096,0.554071,0.6126750778629736,0.5255940246294388,0.680085
5.301833983217732,3.880072765136033,0.9656151533126831,456.1460231823868,0.702058,0.7593776661496179,0.6804626797580478,0.702058
5.444391647081696,3.902773701742794,1.0846823239594363,456.9355736207426,0.658441,0.7231799674521328,0.6344281102549281,0.702058
5.286137725530046,3.832848114913769,0.9955570684390121,457.7325027980161,0.663114,0.7305189700513757,0.6398563737471887,0.702058
5.178080258744486,3.839646628733431,0.8798630197396439,458.5705689848139,0.70378,0.7513704515401735,0.6820795616317522,0.70378
5.209399593010377,3.8131637626819397,0.9368181402763623,459.41767214657216,0.635976,0.7068995733142477,0.6105355147702171,0.70378
5.348057580797859,3.816033550862516,1.0717907876111148,460.23319338680653,0.679347,0.735748867251651,0.6549632740401585,0.70378
5.308035379045465,3.7658958327904175,1.081122081601218,461.0174464536517,0.669017,0.7092172471447793,0.6433553891732103,0.70378
5.221183669701051,3.8289689615871128,0.9303236831440015,461.8909966972437,0.702878,0.7399829002957982,0.6799794663942612,0.70378
5.043445667524017,3.7577247753571927,0.8229825195301784,462.7383889187588,0.714192,0.7659377493332397,0.6925070835625834,0.714192
5.017738717325618,3.7329261169004977,0.8212662546822195,463.5463225975465,0.699762,0.7581104164551953,0.6779027662047947,0.714192
5.368730652198363,3.90938181823559,0.9949766035830037,464.3722105562017,0.682135,0.7448569004270272,0.659307008153229,0.714192
5.055584511060394,3.7694830224755105,0.8208531255132696,465.24836165181705,0.695991,0.7201570729658777,0.6717405769934177,0.714192
5.209463483831856,3.826901358165098,0.9164517361126588,466.11032241649843,0.695417,0.7334405079035061,0.6733951759850807,0.714192
4.890025283513444,3.676342085506139,0.7467007215103406,466.982459593355,0.703944,0.7636194214788621,0.6825222151427525,0.714192
5.118932997242788,3.7020309319656888,0.9490255947863118,467.8764638150676,0.670493,0.7339456179590338,0.6468803355100533,0.714192
5.111246071504743,3.703553904308362,0.9389238029383542,468.7683654099368,0.671395,0.734252871227688,0.6470652967166135,0.714192
4.959671454483203,3.6678167568163924,0.822208559245206,469.64610684855603,0.735673,0.7847381527984634,0.7157966108763015,0.735673
4.914346378840757,3.6662426155604675,0.7775858198658804,470.51795085092607,0.75248,0.783365524825365,0.7330981098117609,0.75248
4.966558574290758,3.6935628264137867,0.8016191821419791,471.376560511214,0.702468,0.7575174291898219,0.679943781550928,0.75248
5.004663312033321,3.7039635556467463,0.8283805445338903,472.31919500801,0.75412,0.7975292772316999,0.734779904066453,0.75412
4.893158350097999,3.650982586185584,0.7689452037382661,473.23054384381584,0.738542,0.789923393628106,0.719425385340545,0.75412
4.862279155281152,3.6352965188830084,0.7527865633535921,474.19603840688643,0.708125,0.7618985949460453,0.6858325448438239,0.75412
4.734621583745721,3.5296970244204062,0.7298479066805893,475.07660357871754,0.73887,0.7870312048125131,0.7192309774407567,0.75412
