train_epoch,80
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/prune_huston_try1
log_root,../output/logs/prune_huston_try1
load_root,../output/models/prune_huston_repair/hsi_lidar_osc_0.3_l1_0.0001_gama_1.003.pth
p,"[0, 0]"
modal,multi
model_name,hsi_lidar_osc_0.5_l1_0.001_gama_1.01
log_name,hsi_lidar_osc_0.5_l1_0.001_gama_1.01
backbone,couple_cross_fc
patch_size,7
location,after
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.001
gama,1.01
osc,0.5
t_max,2.0
temp_epoch,5
gpu,1
version,0
name,hsi_lidar_osc_0.5_l1_0.001_gama_1.01
train_epoch,80
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/prune_huston_try1
log_root,../output/logs/prune_huston_try1
load_root,../output/models/prune_huston_repair/hsi_lidar_osc_0.3_l1_0.0001_gama_1.003.pth
p,"[0, 0]"
modal,multi
model_name,hsi_lidar_osc_0.5_l1_0.001_gama_1.01
log_name,hsi_lidar_osc_0.5_l1_0.001_gama_1.01
backbone,couple_cross_fc
patch_size,7
location,after
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.001
gama,1.01
osc,0.5
t_max,2.0
temp_epoch,5
gpu,1
version,0
name,hsi_lidar_osc_0.5_l1_0.001_gama_1.01
0.0,0.0,0.0,0.0,0.085349,0.06666666666666667,1.5713517388853664e-07,0
8.506627747182096,5.418665194779299,2.689128358712357,398.83428955078125,0.093548,0.07205086426264279,0.00779667758114097,0
8.43884398428242,5.379030425896805,2.6605025221792498,399.3110169828608,0.115192,0.0887567205915159,0.03140745563161718,0
8.296283823720525,5.302041557397735,2.5944738682736173,399.7683420931355,0.286382,0.25519513126130716,0.2278814705348521,0
8.251363416736046,5.271305105659399,2.5798415548346014,400.21675744217436,0.278265,0.2622263330035503,0.22770256762518032,0
8.107848778199614,5.200148802125052,2.5070293914066273,400.67052159684425,0.315815,0.32310837913960655,0.2679883152328572,0
7.926421803035093,5.108671011549704,2.41668250051777,401.0682760517249,0.352956,0.3560150482196925,0.3097883059201571,0.352956
7.86590161484279,5.099600266874506,2.3647919853081865,401.50932054841115,0.284086,0.31909052591354564,0.2353116373838395,0.352956
7.768217322531711,5.046952933407901,2.3193347346916626,401.92962920799687,0.327376,0.28968974506567097,0.27621092574074074,0.352956
7.684453562404332,5.009417994638508,2.2726557710197532,402.37975354141065,0.361728,0.44928612136220175,0.322440357326521,0.361728
7.638912158065967,4.991604537106632,2.244476425513793,402.831190473578,0.333607,0.34152383125388747,0.29289059910396104,0.361728
7.533492886618282,4.935248691044497,2.194985464717565,403.2587530586157,0.375584,0.43725142245595183,0.337443429350862,0.375584
7.3699911578317705,4.891430013635185,2.0748838467544384,403.67728518368153,0.36632,0.3976668210422936,0.32521232977014786,0.375584
7.40014593252975,4.865863157122322,2.130132739463549,404.14999903989644,0.348856,0.39672692668673937,0.30814802033338257,0.375584
7.2369515333282814,4.808826125069951,2.0234901101401683,404.635276537263,0.391982,0.4551201801884767,0.35583921502323973,0.391982
7.12796755051345,4.74511742859744,1.977769031953276,405.0810670316889,0.341641,0.42202506106037546,0.30395430718528016,0.391982
