train_epoch,30
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/
log_root,../output/logs/
modal,multi
model_name,hsi_lidarsfd_md_loss
log_name,hsi_lidarsfd_md_loss
backbone,couple_cross_fc
patch_size,7
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.003
gama,1.003
osc,0.8
t_max,2.0
gpu,0
version,0
loss_num,3
identity,sfd_md_loss
name,hsi_lidarsfd_md_loss
0.0,0.086579,0.06666666666666667,3.6468898662767496e-07,0
2.7115348483739274,0.072969,0.05620467495467495,-0.0147508224103184,0
2.7059174387642506,0.094859,0.0779504467004467,0.009537584326937024,0
2.691824428151163,0.10109,0.11140168015168014,0.018508724819904666,0
2.6657564372159124,0.196606,0.20655433352801775,0.13075104757319558,0
2.6170003226633822,0.207838,0.20306497136812401,0.14324638760968805,0
2.5281481716070284,0.247684,0.2491362054122673,0.1880438512270856,0.247684
2.4426624426681003,0.294827,0.2652809400028273,0.23691268282197084,0.294827
2.4139037828766896,0.19226,0.17016356989569645,0.1271149135052732,0.294827
train_epoch,300
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/
log_root,../output/logs/
modal,multi
model_name,hsi_lidarsfd_md_loss
log_name,hsi_lidarsfd_md_loss
backbone,couple_cross_fc
patch_size,7
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.003
gama,1.003
osc,0.8
t_max,2.0
gpu,0
version,0
loss_num,3
identity,sfd_md_loss
name,hsi_lidarsfd_md_loss
0.0,0.03878,0.06666666666666667,-2.9000341177689742e-08,0
2.7108325717154513,0.019513,0.0248116051938464,-0.02299331490500806,0
