train_epoch,500
batch_size,32
lr,0.001
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
model_name,single_fc_modal_lidar_version_0
log_name,single_fc_modal_lidar_version_0.csv
backbone,single_fc
patch_size,7
data_root,../data/Huston2013
modal,lidar
gpu,1
version,0
name,single_fc_modal_lidar_version_0
2.7480291543381936,0.101582,0.101582
2.7492423057556152,0.090186,0.101582
2.6779730668228665,0.170944,0.170944
2.5621534277883806,0.185373,0.185373
2.464581409197175,0.18111,0.185373
2.386782576528828,0.210708,0.210708
2.295292835557059,0.189965,0.210708
2.2214069955804376,0.195622,0.210708
2.163279690099566,0.180946,0.210708
2.0850633690866194,0.210462,0.210708
2.0601840126380493,0.218988,0.218988
2.0160556522647988,0.225629,0.225629
1.9636431610986087,0.247274,0.247274
1.9529763111907446,0.264163,0.264163
1.9075283039821667,0.299418,0.299418
1.8929252852214855,0.313602,0.313602
1.856305962198236,0.301714,0.313602
1.8372252054428786,0.317045,0.317045
1.830483286568288,0.352218,0.352218
1.8104829707842194,0.330901,0.352218
1.7984772572356664,0.33582,0.352218
1.7728866311941254,0.356563,0.356563
1.7513783795110296,0.368287,0.368287
1.7349996901630016,0.341067,0.368287
1.7285843016056532,0.357547,0.368287
1.6892140835858462,0.368861,0.368861
1.6731106016073334,0.308518,0.368861
1.644186356094446,0.332541,0.368861
1.6452032783058252,0.311552,0.368861
1.6330703028132407,0.309584,0.368861
1.5940112022871382,0.389686,0.389686
1.5747996059696325,0.301796,0.389686
1.5645615331242593,0.252849,0.389686
1.5760549588149853,0.392474,0.392474
1.5504573275533955,0.322128,0.392474
1.5415792358055542,0.346479,0.392474
1.5153469490201286,0.384849,0.392474
1.5218996479270164,0.259982,0.392474
1.509819697797968,0.404608,0.404608
1.4752848858243963,0.300238,0.404608
1.4583317242311629,0.307781,0.404608
1.445936564649089,0.406165,0.406165
1.449615856234947,0.306797,0.406165
1.44679917244429,0.423137,0.423137
1.4146566310625397,0.337542,0.423137
1.4071456903821966,0.412888,0.423137
1.4115379700499975,0.395343,0.423137
1.4141734061616191,0.358203,0.423137
1.4028140427021498,0.29786,0.423137
1.3877312105693174,0.409609,0.423137
1.3643160944574335,0.317373,0.423137
1.3521707801336653,0.303025,0.423137
1.36507102478756,0.397721,0.423137
1.363769902941886,0.390096,0.423137
1.3358652109510443,0.382963,0.423137
1.3477316739853848,0.387554,0.423137
1.3341718443324058,0.337378,0.423137
1.3418060782250394,0.247848,0.423137
1.2907811530520408,0.37788,0.423137
1.311629428622428,0.38862,0.423137
1.32147899638401,0.273592,0.423137
1.3186691744943684,0.267279,0.423137
1.309028995171022,0.445519,0.445519
1.2954507818382777,0.420923,0.445519
1.2889066753762493,0.315405,0.445519
1.281253035818593,0.253341,0.445519
1.2940227409427085,0.422809,0.445519
1.275887681527084,0.391162,0.445519
1.253233503089862,0.441912,0.445519
1.2469901576470792,0.459621,0.459621
1.2670413711097803,0.394523,0.459621
1.2482536676224698,0.420677,0.459621
1.2491173549984278,0.431746,0.459621
1.2567838577741988,0.328687,0.459621
1.2776450628644964,0.446667,0.459621
1.2315650401490459,0.450603,0.459621
1.1985773886187692,0.454374,0.459621
1.2546858948268247,0.23596,0.459621
1.2124274018105496,0.319751,0.459621
1.2152828527300545,0.369189,0.459621
1.2083093791865231,0.421497,0.459621
1.1910806746965044,0.420513,0.459621
1.2027266655075417,0.430188,0.459621
1.1946561892380876,0.273838,0.459621
1.1967509033974637,0.438386,0.459621
1.20957472619046,0.386488,0.459621
1.1861521635162697,0.42535,0.459621
1.1743302613161923,0.409363,0.459621
1.168881449136841,0.332541,0.459621
1.1314153095309654,0.445929,0.459621
1.18499963203173,0.43855,0.459621
1.1936275470122863,0.403132,0.459621
1.176386040248228,0.457244,0.459621
1.1490079506059712,0.285562,0.459621
1.1378755984681377,0.436665,0.459621
1.1262377540716964,0.317947,0.459621
1.1554533310150832,0.429942,0.459621
1.1473858631059024,0.318029,0.459621
1.1465602838591245,0.259162,0.459621
1.1135125153520133,0.459047,0.459621
1.1169258315911454,0.432073,0.459621
1.1487214109870825,0.432975,0.459621
1.1184510220302624,0.452898,0.459621
1.180628917190466,0.453062,0.459621
1.1340277978543485,0.284742,0.459621
1.1244963869619906,0.445765,0.459621
1.1041080409221435,0.224563,0.459621
1.131119160839681,0.325654,0.459621
1.0772882519143352,0.418792,0.459621
1.0920468347795893,0.430352,0.459621
1.0716594698723783,0.374764,0.459621
1.05596731820803,0.354431,0.459621
1.0795460979590255,0.304419,0.459621
1.1184053662117948,0.211281,0.459621
1.1127971738911746,0.457244,0.459621
1.0649476767925734,0.412888,0.459621
1.0810846384991422,0.255227,0.459621
1.0767130195424799,0.485775,0.485775
1.0864350105939287,0.424859,0.485775
1.0548752559704726,0.48061,0.485775
1.0283437130156527,0.458719,0.485775
1.0662480559241905,0.432073,0.485775
1.0706804026378673,0.450029,0.485775
1.041821027069949,0.476921,0.485775
1.0626683382505782,0.368451,0.485775
1.073406311233392,0.431991,0.485775
1.0655080783233215,0.350742,0.485775
1.0449234809768333,0.451013,0.485775
1.0210910164908078,0.511765,0.511765
1.0395031035616156,0.393457,0.511765
1.0495042593291637,0.439616,0.511765
1.0349204774652974,0.476429,0.511765
1.0238209641381595,0.410511,0.511765
1.0114941181761494,0.344593,0.511765
1.0311998892366216,0.463229,0.511765
1.0286527168884705,0.459047,0.511765
1.0143271724829512,0.459785,0.511765
1.0683961443686754,0.448061,0.511765
1.042690574453118,0.459949,0.511765
1.029861483681068,0.409117,0.511765
1.0329178605186806,0.347381,0.511765
0.9856014010611545,0.431582,0.511765
1.0255858308813546,0.357875,0.511765
1.0006814866923215,0.329589,0.511765
1.0420254602860868,0.445847,0.511765
1.0175886428757999,0.446667,0.511765
1.0164549598533117,0.4315,0.511765
1.0018076514929868,0.395507,0.511765
1.010098476758164,0.263179,0.511765
1.0011666591247816,0.429122,0.511765
1.0080255176244157,0.408871,0.511765
0.9769643116533087,0.493564,0.511765
1.0058896956818828,0.377552,0.511765
0.9718877117285568,0.491022,0.511765
0.9912003258640847,0.41338,0.511765
0.9628391774852624,0.473641,0.511765
0.9648462366522028,0.36509,0.511765
0.9875852063800512,0.313684,0.511765
0.9797272722372848,0.454046,0.511765
0.9745336971925885,0.333771,0.511765
0.9810396794522747,0.468066,0.511765
0.9881411764059174,0.500615,0.511765
0.9856920798173111,0.448389,0.511765
0.9675970030634591,0.448061,0.511765
0.9801405581195702,0.344019,0.511765
0.975593181138628,0.19226,0.511765
0.9245117654961147,0.430106,0.511765
0.9788325295019685,0.364106,0.511765
0.9409396963173084,0.490694,0.511765
0.9700387187218398,0.483398,0.511765
0.9643995902511511,0.493154,0.511765
0.9738265717967173,0.477494,0.511765
0.9585633398441786,0.408051,0.511765
0.9731677341996954,0.307371,0.511765
0.928499454862616,0.464294,0.511765
0.9377486692385727,0.476839,0.511765
0.9752322361710366,0.494876,0.511765
0.9395015601361736,0.401246,0.511765
0.9300093121742934,0.30942,0.511765
0.9509269688906294,0.489301,0.511765
0.9451124400235293,0.476511,0.511765
0.9522319811113765,0.243175,0.511765
0.9511115638057838,0.466754,0.511765
0.9824225648065631,0.453964,0.511765
0.9368888327244962,0.395589,0.511765
0.9654430854186583,0.474707,0.511765
0.936148507541485,0.423219,0.511765
0.9415855226891764,0.465688,0.511765
0.945419046316254,0.475691,0.511765
0.9558242037055198,0.361072,0.511765
0.9453450414571869,0.424777,0.511765
0.9390017644742902,0.347872,0.511765
0.9150109538871251,0.347872,0.511765
0.9186957974112435,0.480692,0.511765
0.9090127442659957,0.410265,0.511765
0.8958688110448001,0.475035,0.511765
0.9333521676867196,0.44224,0.511765
0.913390052452516,0.470034,0.511765
0.9425605716330282,0.471673,0.511765
0.9205621601490492,0.515619,0.515619
0.9235946268178103,0.509142,0.515619
0.9009472439798076,0.280315,0.515619
0.9276151101240951,0.511355,0.515619
0.9050918261656601,0.517176,0.517176
0.9064872217982003,0.510289,0.517176
0.9137238940496123,0.472985,0.517176
0.8975636711281337,0.506764,0.517176
0.8862167730760039,0.425187,0.517176
0.8678586322270082,0.495778,0.517176
0.9139841935607824,0.460195,0.517176
0.8783880807040783,0.436173,0.517176
0.8770900824096766,0.494876,0.517176
0.9186447436889905,0.527097,0.527097
0.8941686950372846,0.454046,0.527097
0.8848992425404237,0.450685,0.527097
0.8955227203583449,0.47815,0.527097
0.9056316252504841,0.461753,0.527097
0.8559917301944132,0.521932,0.527097
0.845729728093308,0.327458,0.527097
0.8776137313146269,0.480774,0.527097
0.8812414689010448,0.46823,0.527097
0.8910653376847171,0.462573,0.527097
0.8844792012418254,0.320817,0.527097
0.8705698921439353,0.497909,0.527097
0.8726251908902372,0.513405,0.527097
0.8672956630085291,0.437157,0.527097
0.8833039402961731,0.488481,0.527097
0.8837155803535761,0.512421,0.527097
0.8672377179177959,0.454538,0.527097
0.880461445015468,0.46864,0.527097
0.8680043582166179,0.484053,0.527097
0.8577251153045826,0.47815,0.527097
0.8719820785388518,0.515947,0.527097
0.8575703722707341,0.52972,0.52972
0.8559499537007192,0.511273,0.52972
0.8647618889808655,0.442568,0.52972
