train_epoch,500
batch_size,32
lr,0.001
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
model_name,single_fc_modal_hsi_version_0
log_name,single_fc_modal_hsi_version_0.csv
backbone,single_fc
patch_size,7
data_root,../data/Huston2013
modal,hsi
gpu,1
version,0
name,single_fc_modal_hsi_version_0
2.7613394126463473,0.128228,0.128228
2.759681109631999,0.125851,0.128228
2.6726030472959024,0.196196,0.196196
2.468297138642729,0.320243,0.320243
2.2650391707259616,0.366975,0.366975
2.0613479078485724,0.439124,0.439124
1.8428410613135007,0.548741,0.548741
1.6153995763050037,0.58703,0.58703
1.4362676799967047,0.568746,0.58703
1.2679915247338542,0.575961,0.58703
1.1537538920895438,0.632205,0.632205
1.0327009739500752,0.648684,0.648684
0.9317012382357308,0.594982,0.648684
0.8221947236007519,0.456588,0.648684
0.7674597595514876,0.679347,0.679347
0.6789670650208934,0.668525,0.679347
0.6185218202933837,0.696237,0.696237
0.587461080443993,0.58416,0.696237
0.5342054504357027,0.68525,0.696237
0.4956055072586188,0.654423,0.696237
0.4651091711574726,0.546282,0.696237
0.43802793976965915,0.676806,0.696237
0.3953797833973102,0.741986,0.741986
0.3704809087715792,0.725916,0.741986
0.34897037269024367,0.595966,0.741986
0.3382669831259867,0.749939,0.749939
0.2917794124798828,0.691727,0.749939
0.29122491683183094,0.743462,0.749939
0.27647994098703516,0.763548,0.763548
0.26429816469382705,0.626629,0.763548
0.260675076353416,0.754776,0.763548
0.2540763927979416,0.724112,0.763548
0.22844168066643597,0.666065,0.763548
0.22794687622383739,0.743871,0.763548
0.23094579292817063,0.746577,0.763548
0.21050779563322497,0.6914,0.763548
0.20061040945937125,0.724194,0.763548
0.20484203573190765,0.644667,0.763548
0.183834710064229,0.703042,0.763548
0.1887765255536926,0.769124,0.769124
0.17031587191512076,0.756661,0.769124
0.15864408246419404,0.7401,0.769124
0.16682275807422198,0.768632,0.769124
0.15794958425371836,0.690908,0.769124
0.1417478879683473,0.61179,0.769124
0.15646412554249334,0.710667,0.769124
0.15180838723363502,0.568828,0.769124
0.14712041808982915,0.697959,0.769124
