train_epoch,500
batch_size,32
lr,0.001
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
model_name,single_fc_modal_ms_version_0
log_name,single_fc_modal_ms_version_0.csv
backbone,single_fc
patch_size,7
data_root,../data/Huston2013
modal,ms
gpu,1
version,0
name,single_fc_modal_ms_version_0
2.7061834683579007,0.104042,0.104042
2.7081240509333235,0.099779,0.104042
2.606520159860675,0.24834,0.24834
2.398873546150293,0.324506,0.324506
2.1942890105622537,0.357875,0.357875
1.9964813489592477,0.419611,0.419611
1.8021928219313033,0.518652,0.518652
1.6225946833578389,0.541855,0.541855
train_epoch,500
batch_size,32
lr,0.001
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
model_name,single_fc_modal_ms_version_0
log_name,single_fc_modal_ms_version_0.csv
backbone,single_fc
patch_size,7
data_root,../data/Huston2013
modal,ms
gpu,1
version,0
name,single_fc_modal_ms_version_0
2.705138769042626,0.104124,0.104124
2.707902351122224,0.100271,0.104124
2.6071240366174933,0.250717,0.250717
2.3985188971744495,0.319915,0.319915
2.1939479313539656,0.358121,0.358121
1.9967431057704967,0.420021,0.420021
1.8008498864227467,0.518816,0.518816
1.618415220399921,0.544314,0.544314
1.4670217653338828,0.569976,0.569976
1.3112759764274855,0.599984,0.599984
1.1954425298765805,0.622858,0.622858
1.08176470137714,0.651308,0.651308
0.9914890989828645,0.652374,0.652374
0.9013120290938388,0.661392,0.661392
0.8554499182808265,0.679839,0.679839
0.7848990405543467,0.653439,0.679839
0.7303752540872338,0.705419,0.705419
0.7137444538346837,0.742724,0.742724
0.6606021821498871,0.725424,0.742724
0.6294999705271774,0.646306,0.742724
0.5887676983067159,0.721161,0.742724
0.550977559236998,0.71329,0.742724
0.5252746624893017,0.748545,0.748545
0.5049295934398522,0.770435,0.770435
0.46661273582597795,0.713618,0.770435
0.469881263006939,0.774207,0.774207
0.4253785985239436,0.71288,0.774207
0.4260728501536873,0.770517,0.774207
0.39832075928034405,0.777568,0.777568
0.3672036006209556,0.734279,0.777568
0.37775010808130327,0.774945,0.777568
0.38271123288052805,0.774207,0.777568
0.33453317354904133,0.751414,0.777568
0.3471202841970358,0.796343,0.796343
0.33227269083596345,0.76814,0.796343
0.3261763687046726,0.721571,0.796343
0.31492736023128703,0.760023,0.796343
0.3031906288828743,0.801099,0.801099
0.2959822744465946,0.793392,0.801099
0.29827753144703556,0.737476,0.801099
0.27932724272936915,0.766664,0.801099
0.26635322636098,0.757153,0.801099
0.2735410634888692,0.727966,0.801099
0.24995439491245183,0.772321,0.801099
0.25830905214789207,0.784537,0.801099
0.2703398008192523,0.752644,0.801099
0.2578665216484766,0.796999,0.801099
0.25095616348004074,0.727474,0.801099
0.24449246167466882,0.748709,0.801099
0.2314700891127747,0.799541,0.801099
0.2427304242266698,0.785111,0.801099
0.2031957076004382,0.80733,0.80733
0.22747261939423807,0.792408,0.80733
0.22147367333763102,0.779454,0.80733
0.20909901210263873,0.783471,0.80733
0.22116119958711475,0.79003,0.80733
0.219486565067527,0.71739,0.80733
0.21911877929494622,0.814709,0.814709
0.19398617618874217,0.797737,0.814709
0.20235709419076361,0.744281,0.814709
0.20360052874416448,0.749939,0.814709
0.19798508746905275,0.741248,0.814709
0.19626360378238591,0.761745,0.814709
0.19098216123627812,0.716242,0.814709
0.1815406581324138,0.787817,0.814709
0.16969946809531597,0.826023,0.826023
0.1822889004363103,0.733705,0.826023
0.17273344346479083,0.745265,0.826023
0.1830778687438938,0.805772,0.826023
0.1769864530710692,0.775519,0.826023
0.16346353857537335,0.825777,0.826023
0.1518674296944329,0.80528,0.826023
0.17403657479065188,0.76855,0.826023
0.17117194714171163,0.791834,0.826023
0.16271317419543696,0.745347,0.826023
0.16605961783213563,0.811593,0.826023
0.16005610076061796,0.800279,0.826023
0.15652740993693973,0.805772,0.826023
0.1550169021435333,0.774699,0.826023
0.16259973144598222,0.796917,0.826023
0.13721440079506864,0.768632,0.826023
0.1313870203042968,0.708043,0.826023
0.14418188909466348,0.804378,0.826023
0.1494986287035634,0.751906,0.826023
0.1501694791270106,0.793064,0.826023
0.1364019897797804,0.762073,0.826023
0.13777025498114945,0.783881,0.826023
0.14667794039326437,0.779536,0.826023
0.12805913104100175,0.762893,0.826023
0.14735337520499578,0.698122,0.826023
0.14808399893678306,0.792982,0.826023
0.13551901402265837,0.815774,0.826023
0.13540325962593047,0.767812,0.826023
0.1381486953141984,0.767812,0.826023
0.14538649367063902,0.803394,0.826023
0.11340072008080027,0.809461,0.826023
0.12790282009943818,0.774535,0.826023
0.13172662588820028,0.802,0.826023
0.1275658637829376,0.733295,0.826023
0.1253120531275701,0.755186,0.826023
0.11729326963508396,0.786095,0.826023
0.13387181804504958,0.828974,0.828974
0.10807789389169618,0.792408,0.828974
0.1394931838083803,0.738132,0.828974
0.11904361806391331,0.810527,0.828974
0.11134264220514994,0.829056,0.829056
0.1115815643681569,0.815282,0.829056
0.10959603919992957,0.816512,0.829056
0.11943524634319075,0.831434,0.831434
0.11691638986381252,0.762811,0.831434
0.10550908635506469,0.821186,0.831434
0.12421686428316524,0.71698,0.831434
0.11688732412340266,0.750266,0.831434
0.13168408604485266,0.725588,0.831434
0.12233947439307577,0.757809,0.831434
0.11381089664325955,0.72772,0.831434
0.1041107698437873,0.810445,0.831434
0.10662902688628502,0.80282,0.831434
0.1062272655034668,0.731983,0.831434
0.12185538020194246,0.822661,0.831434
0.1001742777278584,0.788473,0.831434
0.10756111977977699,0.79331,0.831434
0.09874122556340828,0.77642,0.831434
0.10292854603756679,0.788801,0.831434
0.11553840699155679,0.800607,0.831434
0.09827220567575332,0.809707,0.831434
0.0929000676724683,0.778716,0.831434
0.09725549779413792,0.80528,0.831434
0.0884636143285237,0.819792,0.831434
0.09910831741695658,0.809625,0.831434
0.09903295390475332,0.80733,0.831434
0.08977369275571925,0.797245,0.831434
0.09160646427883191,0.797409,0.831434
0.08751586597580253,0.830778,0.831434
0.07914470404051663,0.790112,0.831434
0.08862608552941781,0.808969,0.831434
0.09652167391241266,0.758383,0.831434
0.08908756694683198,0.782815,0.831434
0.09061759344061439,0.754776,0.831434
0.10225444030686376,0.735591,0.831434
0.07435272875754687,0.805854,0.831434
0.07546521497241566,0.839305,0.839305
0.08378566935491026,0.836435,0.839305
0.09496716171335638,0.733787,0.839305
0.08728544573100765,0.841026,0.841026
