train_epoch,300
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/mcl
log_root,../output/logs/mcl
load_root,../output/models/prune_huston_repair/hsi_lidar_osc_0.3_l1_0.0001_gama_1.003.pth
p,"[0, 0]"
modal,multi
model_name,hsi_lidar_osc_0.7_l1_0.001_gama_1.01
log_name,hsi_lidar_osc_0.7_l1_0.001_gama_1.01
backbone,couple_cross_fc
patch_size,7
location,after
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.001
gama,1.01
osc,0.7
t_max,2.0
temp_epoch,5
gpu,1
version,0
name,hsi_lidar_osc_0.7_l1_0.001_gama_1.01
train_epoch,300
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/mcl
log_root,../output/logs/mcl
load_root,../output/models/prune_huston_repair/hsi_lidar_osc_0.3_l1_0.0001_gama_1.003.pth
p,"[0, 0]"
modal,multi
model_name,hsi_lidar_osc_0.7_l1_0.001_gama_1.01
log_name,hsi_lidar_osc_0.7_l1_0.001_gama_1.01
backbone,couple_cross_fc
patch_size,7
location,after
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.001
gama,1.01
osc,0.7
t_max,2.0
temp_epoch,5
gpu,1
version,0
name,hsi_lidar_osc_0.7_l1_0.001_gama_1.01
0.0,0.05157,0.09085153529597974,0.017553269058316636,0
2.784137841021077,0.013856,0.010699588477366255,-0.06392402087771502,0
2.735830850815505,0.086333,0.06666666666666667,0.00025010730864759637,0
2.6152353501052,0.199885,0.2318890874603542,0.14006063643773442,0
2.4661857224582286,0.288432,0.36176757858056985,0.24360199219732714,0
2.3077354190054904,0.344429,0.4114638259706717,0.303961063588679,0
2.134958347577727,0.445601,0.5040058354629647,0.41018793092648853,0.445601
1.9738118568163239,0.482578,0.5591235251917088,0.4483195639994852,0.482578
1.8310263183679474,0.490284,0.5693030481296273,0.45629239031318125,0.490284
1.690370518170046,0.522424,0.5978929073298007,0.49047593678089724,0.522424
1.5635661047496152,0.521276,0.5985062877624391,0.4901195489281138,0.522424
1.4354399348912614,0.551693,0.6226996842177837,0.5220376001370551,0.551693
1.338724972156996,0.561204,0.62905146947977,0.5314179024411934,0.561204
1.2315112586771504,0.588997,0.6570376450976545,0.5607611515969152,0.588997
1.1401115709476257,0.608264,0.6766614160259031,0.5814607655687845,0.608264
1.0549675286485907,0.643765,0.7053697561033953,0.618374157240015,0.643765
0.9670279970329799,0.656883,0.7185530984904326,0.6322439376088949,0.656883
0.8885840987891294,0.673936,0.7320805895047278,0.6498725342619578,0.673936
0.8250993195544468,0.692547,0.7461303878901618,0.669294015997703,0.692547
0.7561427512195673,0.734689,0.7737564719477352,0.7136527632233184,0.734689
0.7117612770434176,0.704927,0.7521850951638125,0.6823416380559159,0.734689
0.6483413975560264,0.741412,0.7826230899729338,0.7208971192723211,0.741412
0.6067936849058344,0.772567,0.8070126243941218,0.754496056771155,0.772567
0.5522166413537571,0.776912,0.8113119991498678,0.7590733985230691,0.776912
0.5110607766703273,0.744773,0.7868054322531118,0.7248449074833849,0.776912
0.46938324275981175,0.800115,0.8247513499038733,0.7838092305694296,0.800115
0.4275118469187383,0.79003,0.820522718172845,0.773208606775169,0.800115
0.41169419097766446,0.777404,0.8119715944604528,0.7594421110167772,0.800115
0.3866794969928399,0.598918,0.6429626682696115,0.5723879781362471,0.800115
0.37183367787452226,0.757563,0.779396816923924,0.737392678119677,0.800115
0.3298487172702725,0.683283,0.733010953496499,0.6594249065022507,0.800115
0.30601128617699225,0.651718,0.6792854264296497,0.6240635389529905,0.800115
0.2789543584156572,0.812413,0.8394131074149359,0.7972094955402463,0.812413
0.2677370067057985,0.832336,0.8544104954771992,0.818805562970611,0.832336
0.25236456523115713,0.845044,0.8581677744179999,0.8320631905452236,0.845044
0.22835496151715182,0.775027,0.8034127751130367,0.7573293128708012,0.845044
0.22653790948431143,0.822661,0.8473933224993464,0.8081645296230137,0.845044
0.2117690330141046,0.70337,0.7261839550916396,0.6788193853474903,0.845044
0.19862642909368772,0.734033,0.7495199728905987,0.7116674624931782,0.845044
0.1958138629626692,0.710421,0.7642270912501323,0.6882776009003143,0.845044
0.18412806972693863,0.806346,0.8297422783967581,0.7904520384964907,0.845044
0.16712157419893178,0.84488,0.8619098577435246,0.8319886387432179,0.845044
0.16059284339125238,0.695663,0.7537322814964756,0.6720670134330767,0.845044
0.15248820369832972,0.680577,0.691457248736444,0.6544889762834198,0.845044
0.15034192787964692,0.757891,0.7677283119543622,0.7376602132168478,0.845044
0.15040364300601938,0.838157,0.8568291254032133,0.8246711784008275,0.845044
0.143938591264272,0.794786,0.8171961561463128,0.7777980962018893,0.845044
0.14185772321364853,0.821186,0.8485294397257691,0.8067542337999051,0.845044
0.128191140637304,0.853489,0.8712562576032029,0.8413521319097095,0.853489
0.1254240210387814,0.759285,0.8021632762996298,0.7406907416415974,0.853489
0.11077487313847863,0.860212,0.878580793547438,0.8485701971500054,0.860212
0.12301916725347552,0.848979,0.8641074803411454,0.8363776640678894,0.860212
0.1125904352644856,0.849143,0.8618948803709248,0.8364394285886917,0.860212
0.11695108583636499,0.803886,0.8266528349972226,0.7878463309036721,0.860212
0.10123212392745393,0.825531,0.8525261534297857,0.8113029362093592,0.860212
0.10235672695248314,0.85521,0.8716821284238195,0.8431158645390969,0.860212
0.09583777222740517,0.784865,0.8101484422756093,0.7671143088877105,0.860212
0.10257785568495145,0.856276,0.8760211119798089,0.8445045122804564,0.860212
0.0969755727421032,0.829466,0.8532292515668396,0.8155939390415169,0.860212
0.08833952356925172,0.809297,0.8329024332600309,0.7936280321254588,0.860212
0.08212081014356587,0.86718,0.8815523395157961,0.8561042998780521,0.86718
0.07415901375620552,0.861195,0.8737562874023106,0.8495565263683563,0.86718
0.09076915076525693,0.798885,0.8345219267446057,0.7829607590801956,0.86718
0.08876389989189887,0.811839,0.8439820204940721,0.7968710977275291,0.86718
0.081799740955401,0.758465,0.7665909359865719,0.7381070029563805,0.86718
0.0769326856590054,0.837501,0.8616310067411482,0.8242374415184426,0.86718
0.07973679521361764,0.86759,0.8814847671404565,0.8564670342549761,0.86759
0.06644495944963412,0.864475,0.8830927563599376,0.853214075846566,0.86759
0.06490071371113987,0.838977,0.8469684777834818,0.8253733114779234,0.86759
0.06624917137656319,0.804378,0.8308704485636599,0.7883948362471023,0.86759
0.08142977988535768,0.850373,0.8670101672222787,0.8379117268613027,0.86759
0.06919055254188146,0.85562,0.8753451505115899,0.8438461706822975,0.86759
0.06261577538811089,0.801099,0.826893058602525,0.7847660033202993,0.86759
0.07347519888301914,0.818316,0.8308968226125024,0.8031552239173753,0.86759
0.06673465334297565,0.863573,0.8796958752429405,0.8522260204473534,0.86759
0.07056194897531794,0.86841,0.8805405166549318,0.8573502463728877,0.86841
0.05981714263809531,0.865049,0.8784007601095418,0.8537157597886433,0.86841
0.05811423848100593,0.875789,0.88792124246917,0.8653207906944914,0.875789
0.05634606154530906,0.808887,0.7819466876897389,0.7922717561867152,0.875789
0.06372939554576794,0.866607,0.8828170924842844,0.8556601858229085,0.875789
0.050452200654015115,0.784537,0.8144393460329215,0.7671455875331956,0.875789
0.05706842689450537,0.814873,0.8380374562905881,0.7995358176444883,0.875789
0.05391819153525186,0.834713,0.8632857096728054,0.8212488221207802,0.875789
0.055564129735562906,0.700828,0.7157999582513158,0.6755159236988892,0.875789
0.056042456193670126,0.868656,0.8835475633794475,0.8576171958587908,0.875789
0.05334591597653507,0.849061,0.8658374640940967,0.8364269810181924,0.875789
0.0548024582833554,0.825859,0.8412965267387827,0.8113669737132522,0.875789
0.05427252984699908,0.779618,0.8072622365263904,0.7612517757380213,0.875789
0.04934100869498896,0.825449,0.8354970491908897,0.8107646281954736,0.875789
0.05027830002180646,0.865869,0.8826738000762251,0.8546458804530557,0.875789
0.05404422314984075,0.868492,0.8846887199395269,0.857529704639364,0.875789
0.0411976512333148,0.87087,0.8829090373431453,0.8600751417266813,0.875789
0.04197743277620064,0.873248,0.8865661417057153,0.8625888693032177,0.875789
0.04284483543858769,0.868328,0.8756322014724915,0.8572502357991212,0.875789
0.04028086138240407,0.867016,0.8802255270973053,0.8558404661344327,0.875789
0.04167355498654789,0.855538,0.8751847021501271,0.8437752596807703,0.875789
0.03813126853803236,0.87169,0.8850750162550145,0.8608564301297008,0.875789
0.040740676088195836,0.8812,0.8903699414484243,0.8711807396151822,0.8812
0.03948867915386564,0.817168,0.8464204717410863,0.8022876143798696,0.8812
0.03905642047273309,0.867508,0.883173793678307,0.8565043806052405,0.8812
0.04004660279102874,0.872428,0.8852748835656452,0.8617196200713338,0.8812
0.03249879799825087,0.82799,0.8464681769840673,0.8136101147113008,0.8812
0.038834858696196184,0.867262,0.8840724452827975,0.8561416932592275,0.8812
0.047625279660974996,0.789374,0.8281372906780383,0.7726834882762865,0.8812
0.038456328506215234,0.877593,0.8936035175230173,0.8674543249116141,0.8812
0.040646365383284144,0.861277,0.874226403727024,0.8497406951760096,0.8812
0.03978028908120782,0.879807,0.8926624729730548,0.8696692509262308,0.8812
0.0324982822757591,0.780684,0.8214268091464603,0.7631126396979117,0.8812
0.03896805613688874,0.88038,0.8933715814097023,0.8703028411773764,0.8812
0.043542682705970295,0.83414,0.8408087200161434,0.8201541796510583,0.8812
0.03814195697143506,0.839305,0.8601764010458305,0.8259859247348043,0.8812
0.03431237472242184,0.868984,0.8782994469683524,0.8579130745959206,0.8812
0.04564364346560468,0.818644,0.8476030490889345,0.8037694073011409,0.8812
0.03420444694609287,0.866771,0.8801003440770355,0.8556139768860379,0.8812
0.044785768442441906,0.848979,0.8675182222070464,0.8368936370084897,0.8812
0.034828824451549,0.865213,0.8853305456106664,0.8540984615845821,0.8812
0.03542873380559214,0.877675,0.891998394809756,0.8673699471771562,0.8812
0.03549033393978738,0.87169,0.8878562077739108,0.8609621456950917,0.8812
0.03110327384319533,0.842584,0.8532945780423001,0.8293047789386709,0.8812
0.036268974738090896,0.776338,0.799326226890707,0.7577620667199786,0.8812
0.04213429588740796,0.804624,0.836407800776243,0.7891502791435691,0.8812
0.03758096399853069,0.846028,0.8639752558186341,0.833051309538539,0.8812
0.03861615056527799,0.877019,0.8900471091061006,0.8666952431440915,0.8812
0.030096322988693632,0.876199,0.8904603485261414,0.8658151392935539,0.8812
0.03282881319899572,0.872838,0.8837977911323718,0.8622146815320227,0.8812
0.028443538636136592,0.87292,0.8839386985463,0.8622544349942031,0.8812
0.03387058733470654,0.800279,0.8293849322557497,0.78405178924093,0.8812
0.030413206771350978,0.866607,0.8825069566095097,0.8555142100814161,0.8812
0.028873622919736285,0.872592,0.8861764815272439,0.8619208859396393,0.8812
0.039610648166723134,0.814463,0.8432134536374408,0.7992780266533106,0.8812
0.02802241009691458,0.877839,0.8924616115094695,0.8676465651493038,0.8812
0.03568113490604283,0.765516,0.7830618929124108,0.7457230430650102,0.8812
0.028112401986976017,0.862343,0.8756564793679202,0.8508307883671355,0.8812
0.02892910008936116,0.865623,0.8834436240392068,0.854436141837474,0.8812
0.02663972404565704,0.744773,0.7944667184967754,0.7247278145930244,0.8812
0.029015488964453173,0.85931,0.8775851770297719,0.8478222703465637,0.8812
0.02524680931518754,0.841354,0.8643054036466847,0.8284329615602678,0.8812
0.03065167764578475,0.77642,0.7924189109272836,0.7578195005446339,0.8812
0.02947470130336084,0.848815,0.8729970949293914,0.836595354547448,0.8812
0.027561760047094874,0.868984,0.8853518457383659,0.8581952968993845,0.8812
0.027647827485094915,0.868164,0.8868397637758023,0.8572797517595091,0.8812
0.025355405195124362,0.847995,0.8700448988403647,0.8356357294401644,0.8812
0.02516818343755904,0.868574,0.88624319118503,0.8576963210116338,0.8812
0.0314964209421632,0.81971,0.8373235229599936,0.8048560753660893,0.8812
0.029507218363035596,0.824793,0.8523740503293303,0.8106814703317625,0.8812
0.026328412481070904,0.867918,0.881537324356843,0.8568593004230752,0.8812
0.02998605129842678,0.863409,0.8819856498749034,0.8521863918730186,0.8812
0.024206262155111586,0.85726,0.8750221398422653,0.845480524230677,0.8812
0.026583965114328298,0.859064,0.8794062535990056,0.8474148909058263,0.8812
0.027658744244260736,0.812659,0.842380031815671,0.797186743170452,0.8812
0.026752196200024544,0.878413,0.8913734286742507,0.868235572603153,0.8812
0.02276949074349544,0.865541,0.8812751037126315,0.8543239842875634,0.8812
0.024993401214354827,0.863819,0.8805187591353322,0.8525347351228116,0.8812
0.02348758637109834,0.86882,0.8836615649081874,0.8579219759160385,0.8812
0.02244840529904272,0.873903,0.8877056495678867,0.8633738617815425,0.8812
0.02177764843165707,0.877429,0.8897784488511394,0.8671201858417302,0.8812
